wd_id,line_id,linewd,dipl,word,phon,phon_map,syllabified,wd_div,textlineid,lang,syntag,syntag2,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,phil_note,ref,tei_right,tei_left
385,64,2,o,o,O,o,/O\,+,64,fro,Dem,Dem,o4,DMF,o4,PRNdem,PRNdem,snr,,"SLeger, l. 64",,
386,64,3,q[ue],que,kE,qu.e,k/(E)\,_,64,fro,Sub,Sub,que,DMF,que,CONsub,CONsub,,,"SLeger, l. 64",,
387,64,4,uentre,ventre,vENtrə,v.e.n.t.r.e,'v/E\N.tr/(ə)\,+,64,fro,Vinf,Vinf,vaincre,DMF,vaincre,VERinf,VERinf,,,"SLeger, l. 64",,
388,64,5,no,no,no,n.o,n/o\,+,64,fro,Neg,Neg$$,ne,DMF,ne,ADVneg,ADVneg,,,"SLeger, l. 64",,
389,64,6,ls,ls,LS,l.s,/\LS,_,64,fro,Prn,Prn$$,le,DMF,le,PRCper,PRCper,6pma,,"SLeger, l. 64",,
390,64,7,en,en,EN,e.n,/E\N,_,64,fro,Prn,Prn$$,en2,DMF,en2,PRCadv,PRCadv,,,"SLeger, l. 64",,
391,64,8,poth,poth,pɔT,p.o.th,p/ɔ\T,|,64,fro,Vfin,Vfin,pouvoir,DMF,pouvoir,VERcjg,VERcjg,indpsp3|indpst3,SLégerL:104,"SLeger, l. 64",</l>,
392,65,1,por,por,por,p.o.r,p/o\r,_,65,fro,Pre,Pre,pour,DMF,pour,PRE,PRE,,,"SLeger, l. 65",,<lb/><l n=&quot;65&quot;>
393,65,2,ciel,ciel,Çel,c.ie.l,Ç/e\l,_,65,fro,Dem,Dem,cil,DMF,cil,DETdem,DETdem,smr,,"SLeger, l. 65",,
394,65,3,tiel,tiel,tæl,t.ie.l,t/æ\l,_,65,fro,Adj,Adj,tel,DMF,tel,ADJind,ADJind,smr,,"SLeger, l. 65",,
395,65,4,duol,duol,dOl,d.uo.l,d/O\l,_,65,fro,N,N,deuil,DMF,deuil,NOMcom,NOMcom,smr,,"SLeger, l. 65",,
396,65,5,roua,rova,rOva,r.o.v.a,r/O\.'v/a\,+,65,fro,Vfin,Vfin,rover,DMF,rover,VERcjg,VERcjg,indpsp3,"SLégerL:102,114","SLeger, l. 65",,
397,65,6,s,s,S,s,/\S,_,65,fro,Prn,Prn%%,se,DMF,se,PRCper,PRCper,3smr,,"SLeger, l. 65",,
398,65,7,clergier,clergier,kLErʤiEr,c.l.e.r.g.i.e.r,kL/E\r.'ʤ/iE\r,.|,65,fro,Vinf,Vinf,clerger,DMF,clerger,VERinf,VERinf,,,"SLeger, l. 65",</l>,
399,66,1,si,si,Si,s.i,S/i\,+,66,fro,Adv,Adv,si4,DMF,si4,ADVgen,ADVgen,,,"SLeger, l. 66",,<lb/><l n=&quot;66&quot;>
400,66,2,s,s,S,s,/\S,+,66,fro,Prn,Prn$$,se,DMF,se,PRCper,PRCper,3smr,,"SLeger, l. 66",,
401,66,3,en,en,EN,e.n,/E\N,_,66,fro,Prn,Prn$$,en2,DMF,en2,PRCadv,PRCadv,,,"SLeger, l. 66",,
402,66,4,intrat,intrat,iNtrað,i.n.t.r.a.t,/i\N.'tr/a\ð,_,66,fro,Vfin,Vfin,entrer,DMF,entrer,VERcjg,VERcjg,indpsp3,,"SLeger, l. 66",,
403,66,5,in,in,iN,i.n,/i\N,+,66,fro,Pre,Pre,en,DMF,en,PRE,PRE,,,"SLeger, l. 66",,
404,66,6,un,un,yN,u.n,/y\N,_,66,fro,QIs,QIs,un,DMF,un,DETndf,DETndf,smr,,"SLeger, l. 66",,
405,66,7,monstier,monstier,mONStiEr,m.o.n.s.t.i.e.r,m/O\NS.'t/iE\r,|,66,fro,N,N,moutier,DMF,moutier,NOMcom,NOMcom,smr,,"SLeger, l. 66",</l></lg>,
406,67,1,Reis,reis,reiS,r.e.i.s,r/e\iS,_,67,fro,N,N,roi,DMF,roi,NOMcom,NOMcom,smn,,"SLeger, l. 67",,<lb/><lg n=&quot;12&quot; rhyme=&quot;aabbcc&quot; type=&quot;stanza&quot; met=&quot;octosyllable&quot;><l n=&quot;67&quot;>
407,67,2,chiel_perics,chielperics,kELpEriKS,ch.ie.l.p.e.r.i.c.s,k/E\L.p/E\.'r/i\KS,_,67,fro,N,N,Childéric,wikipedia.fr,,NOMpro,NOMpro,smn,,"SLeger, l. 67",,
408,67,3,tam,tam,tAN,t.a.m,t/A\N,+,67,fro,QIs,QIs,tant,DMF,tant,ADVgen,ADVgen,,,"SLeger, l. 67",,
409,67,4,bien,bien,biEn,b.i.e.n,b/iE\n,_,67,fro,Adv,Adv,bien,DMF,bien,ADVgen,ADVgen,,,"SLeger, l. 67",,
410,67,5,en,en,EN,e.n,/E\N,|,67,fro,Prn,Prn$$,en2,DMF,en2,PRCadv,PRCadv,,,"SLeger, l. 67",,
411,67,6,fist,fist,fiST,f.i.s.t,f/i\ST,_,67,fro,Vfin,Vfin,faire,DMF,faire,VERcjg,VERcjg,indpsp3,,"SLeger, l. 67",</l>,<lb/>
412,68,1,de,de,dE,d.e,d/(E)\,+,68,fro,Pre,Pre,de,DMF,de,PRE,PRE,,,"SLeger, l. 68",,<l n=&quot;68&quot;>
413,68,2,sanct,sanct,SANT,s.a.n.ct,S/A\NT,_,68,fro,Adj,Adj,saint,DMF,saint,ADJqua,ADJqua,smr,,"SLeger, l. 68",,
414,68,3,l[ethgier],lethgier,LETʤiEr,l.e.th.g.i.e.r,L/E\T.'ʤ/iE\r,_,68,fro,N,N,Léger,wikipedia.fr,,NOMpro,NOMpro,smr,,"SLeger, l. 68",,
415,68,4,consilier,consilier,kONSiʎiEr,c.o.n.s.i.l.i.e.r,k/O\N.S/i\.'ʎ/iE\r,+,68,fro,N,N,conseiller,DMF,conseiller,NOMcom,NOMcom,smr,,"SLeger, l. 68",,
416,68,5,fist,fist,fiST,f.i.s.t,f/i\ST,.|,68,fro,Vfin,Vfin,faire,DMF,faire,VERcjg,VERcjg,indpsp3,,"SLeger, l. 68",</l>,
417,69,1,quandius,quandius,QRVRQVQ,q.u.a.n.d.iu.s,'QR/V\R.Q/V\Q,_,69,lat,Sub,Sub,quand,DMF,quand,CONsub,CONsub,,,"SLeger, l. 69",,<lb/><l n=&quot;69&quot;>
418,69,2,a,a,A,a,/A\,+,69,fro,Pre,Pre,à,DMF,à,PRE,PRE,,,"SLeger, l. 69",,
419,69,3,l,l,L,l,/\L,+,69,fro,Det,Det,le,DMF,le,DETdef,DETdef,smr,,"SLeger, l. 69",,
420,69,4,suo,suo,Sou,s.u.o,S/o\u,_,69,fro,Adj,Adj,sien,DMF,sien,ADJpos,ADJpos,3smr,,"SLeger, l. 69",,
421,69,5,consiel,consiel,kONSeʎ,c.o.n.s.ie.l,k/O\N.'S/e\ʎ,_,69,fro,N,N,conseil,DMF,conseil,NOMcom,NOMcom,smr,,"SLeger, l. 69",,
422,69,6,edrat,edrat,Eðrað,e.d.r.a.t,/E\.'ðr/a\ð,|,69,fro,Vfin,Vfin,agir,DMF,agir,VERcjg,VERcjg,indpsp3,"SLégerL:115,182","SLeger, l. 69",</l>,
423,70,1,in_contra,incontra,iNkONtrə,i.n.c.o.n.t.r.a,/i\N.'k/O\N.tr/(ə)\,+,70,fro,PrA,PrA,encontre,DMF,encontre,PRE,PRE,,,"SLeger, l. 70",,<lb/><l n=&quot;70&quot;>
424,70,2,deu,deu,dæu,d.e.u,d/æ\u,_,70,fro,N,N,Dieu,DMF,Dieu,NOMpro,NOMpro,smr,,"SLeger, l. 70",,
425,70,3,ben,ben,bEn,b.e.n,b/E\n,+,70,fro,Adv,Adv,bien,DMF,bien,ADVgen,ADVgen,,,"SLeger, l. 70",,
426,70,4,si,si,Si,s.i,S/i\,_,70,fro,Adv,Adv,si4,DMF,si4,ADVgen,ADVgen,,,"SLeger, l. 70",,
427,70,5,garda,garda,gArda,g.a.r.d.a,g/A\r.'d/a\,.,70,fro,Vfin,Vfin,garder,DMF,garder,VERcjg,VERcjg,indpsp3,,"SLeger, l. 70",</l>,
428,71,1,lei,lei,Lei,l.e.i,L/e\i,|,71,fro,N,N,loi,DMF,loi,NOMcom,NOMcom,sfr,,"SLeger, l. 71",,<l n=&quot;71&quot;>
429,71,2,consentit,consentit,kONSENtið,c.o.n.s.e.n.t.i.t,k/O\N.S/E\N.'t/i\ð,_,71,fro,Vfin,Vfin,consentir,DMF,consentir,VERcjg,VERcjg,indpsp3,,"SLeger, l. 71",,<lb/>
430,71,3,et,et,eð,e.t,/e\ð,+,71,fro,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,,"SLeger, l. 71",,
431,71,4,obseruat,observat,ObSErvað,o.b.s.e.r.v.a.t,/O\b.S/E\r.'v/a\ð,_,71,fro,Vfin,Vfin,observer,DMF,observer,VERcjg,VERcjg,indpsp3,,"SLeger, l. 71",</l>,
432,72,1,et,et,eð,e.t,/e\ð,+,72,fro,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,,"SLeger, l. 72",,<l n=&quot;72&quot;>
433,72,2,son,son,SON,s.o.n,S/O\N,|,72,fro,Det,Det,son4,DMF,son4,DETpos,DETpos,3smr,,"SLeger, l. 72",,
434,72,3,regnet,regnet,rEɲæð,r.e.gn.e.t,r/E\.'ɲ/æ\ð,_,72,fro,N,N,régné,DMF,régné,NOMcom,NOMcom,smr,,"SLeger, l. 72",,<lb/>
435,72,4,ben,ben,bEn,b.e.n,b/E\n,+,72,fro,Adv,Adv,bien,DMF,bien,ADVgen,ADVgen,,,"SLeger, l. 72",,
436,72,5,dominat,dominat,dOminað,d.o.m.i.n.a.t,d/O\.m/i\.'n/a\ð,.|,72,fro,Vfin,Vfin,dominer,DMF,dominer,VERcjg,VERcjg,indpsp3,,"SLeger, l. 72",</l></lg>,
437,73,1,Ia,ja,ʤa,j.a,ʤ/a\,_,73,fro,Adv,Adv,jà,DMF,jà,ADVgen,ADVgen,,,"SLeger, l. 73",,<lb/><lg n=&quot;13&quot; rhyme=&quot;aabbcc&quot; type=&quot;stanza&quot; met=&quot;octosyllable&quot;><l n=&quot;73&quot;>
438,73,2,fud,fud,fyð,f.u.d,f/y\ð,_,73,fro,Vfin,Vfin,être,DMF,être,VERcjg,VERcjg,indpsp3,,"SLeger, l. 73",,
439,73,3,tels,tels,tæLS,t.e.l.s,t/æ\LS,+,73,fro,Adj,Adj,tel,DMF,tel,DETind,DETind,smn,,"SLeger, l. 73",,
440,73,4,om,om,Om,o.m,/O\m,_,73,fro,N,N,homme,DMF,homme,NOMcom,NOMcom,smn,,"SLeger, l. 73",,
441,73,5,deu,deu,dæu,d.e.u,d/æ\u,_,73,fro,N,N,Dieu,DMF,Dieu,NOMpro,NOMpro,smr,,"SLeger, l. 73",,
442,73,6,inimix,inimix,inimiKS,i.n.i.m.i.x.,/i\.n/i\.'m/i\KS,.|,73,fro,N,N,ennemi,DMF,ennemi,NOMcom,NOMcom,smn,,"SLeger, l. 73",</l>,
443,74,1,qui,qui,ki,qu.i,k/i\,+,74,fro,Qux,Qux,qui,DMF,qui,PRNrel,PRNrel,smn,,"SLeger, l. 74",,<lb/><l n=&quot;74&quot;>
444,74,2,l,l,L,l,/\L,_,74,fro,Prn,Prn$$,le,DMF,le,PRCper,PRCper,3sma,,"SLeger, l. 74",,
445,74,3,en_cusat,encusat,ENkyzað,e.n.c.u.s.a.t,/E\N.k/y\.'z/a\ð,_,74,fro,Vfin,Vfin,encuser,DMF,encuser,VERcjg,VERcjg,indpsp3,,"SLeger, l. 74",,
446,74,4,ab,ab,aP,a.b,/a\P,+,74,fro,Pre,Pre,o,DMF,o,PRE,PRE,,,"SLeger, l. 74",,
447,74,5,chielpering,chielpering,kELpEriNK,ch.ie.l.p.e.r.i.n.g,k/E\L.p/E\.'r/i\NK,.|,74,fro,N,N,Childéric,wikipedia.fr,,NOMpro,NOMpro,smr,,"SLeger, l. 74",</l>,
448,75,1,l,l,L,l,/\L,+,75,fro,Det,Det,le,DMF,le,DETdef,DETdef,sfn,,"SLeger, l. 75",,<lb/><l n=&quot;75&quot;>
449,75,2,ira,ira,irə,i.r.a,'/i\.r/(ə)\,_,75,fro,N,N,ire,DMF,ire,NOMcom,NOMcom,sfn,,"SLeger, l. 75",,
450,75,3,fud,fud,fyð,f.u.d,f/y\ð,+,75,fro,Vfin,Vfin,être,DMF,être,VERcjg,VERcjg,indpsp3,,"SLeger, l. 75",,
451,75,4,granz,granz,grANTS,g.r.a.n.z.,gr/A\NTS,_,75,fro,Adj,Adj,grand,DMF,grand,ADJqua,ADJqua,sfn,,"SLeger, l. 75",,
452,75,5,cu[m],cum,kOm,c.u.m,k/O\m,_,75,fro,Sub,Sub,comme,DMF,comme,CONsub,CONsub,,,"SLeger, l. 75",,
453,75,6,de,de,dE,d.e,d/(E)\,+,75,fro,Pre,Pre,de,DMF,de,PRE,PRE,,,"SLeger, l. 75",,
454,75,7,seinor,seinor,SEɲor,s.e.in.o.r,S/E\.'ɲ/o\r,.|,75,fro,N,N,seigneur,DMF,seigneur,NOMcom,NOMcom,smr,,"SLeger, l. 75",</l>,
455,76,1,et,et,eð,e.t,/e\ð,_,76,fro,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,,"SLeger, l. 76",,<lb/><l n=&quot;76&quot;>
456,76,2,s[ancz],sancz,SANTS,s.a.n.c.z,S/A\NTS,_,76,fro,Adj,Adj,saint,DMF,saint,ADJqua,ADJqua,smn,,"SLeger, l. 76",,
457,76,3,l[ethgiers],lethgiers,LETʤiErS,l.e.th.g.i.e.r.s,L/E\T.'ʤ/iE\rS,_,76,fro,N,N,Léger,wikipedia.fr,,NOMpro,NOMpro,smn,,"SLeger, l. 76",,
458,76,4,oc,oc,ɔK,o.c,/ɔ\K,+,76,fro,Vfin,Vfin,avoir,DMF,avoir,VERcjg,VERcjg,indpsp3,,"SLeger, l. 76",,
459,76,5,s,s,S,s,S/\,+,76,fro,Prn,Prn%%,se,DMF,se,PRCper,PRCper,3smr,,"SLeger, l. 76",,
460,76,6,ent,ent,ENT,e.n.t,/E\NT,_,76,fro,Prn,Prn%%,en2,DMF,en2,PRCadv,PRCadv,,,"SLeger, l. 76",,
461,76,7,pauor,pavor,pAvor,p.a.v.o.r,p/A\.'v/o\r,.,76,fro,N,N,peur,DMF,peur,NOMcom,NOMcom,sfr,,"SLeger, l. 76",</l>,
462,77,1,ia,ja,ʤa,j.a,ʤ/a\,+,77,fro,Adv,Adv,jà,DMF,jà,ADVgen,ADVgen,,,"SLeger, l. 77",,<l n=&quot;77&quot;>
463,77,2,lo,lo,Lu,l.o,L/(u)\,|,77,fro,Prn,Prn$$,le,DMF,le,PRCper,PRCper,3sna,,"SLeger, l. 77",,
464,77,3,sot,sot,SɔT,s.o.t,S/ɔ\T,_,77,fro,Vfin,Vfin,savoir,DMF,savoir,VERcjg,VERcjg,indpsp3,,"SLeger, l. 77",,<lb/>
465,77,4,bien,bien,biEn,b.i.e.n,b/iE\n,_,77,fro,Adv,Adv,bien,DMF,bien,ADVgen,ADVgen,,,"SLeger, l. 77",,
466,77,5,il,il,il,i.l,/i\l,+,77,fro,Prn,Prn$,il,DMF,il,PRNper,PRNper,3smn,,"SLeger, l. 77",,
467,77,6,le,le,LE,l.e,L/(E)\,_,77,fro,Prn,Prn$$,le,DMF,le,PRCper,PRCper,3sna,,"SLeger, l. 77",,
468,77,7,celat,celat,ÇElað,c.e.l.a.t,Ç/E\.'l/a\ð,.,77,fro,Vfin,Vfin,celer,DMF,celer,VERcjg,VERcjg,indpsp3,,"SLeger, l. 77",</l>,
469,78,1,a,a,A,a,/A\,+,78,fro,Pre,Pre,à,DMF,à,PRE,PRE,,,"SLeger, l. 78",,<l n=&quot;78&quot;>
470,78,2,nuil,nuil,nyl,n.u.il,n/y\l,|,78,fro,QIs,QIs,nul,DMF,nul,DETind,DETind,smr,,"SLeger, l. 78",,
471,78,3,omne,omne,Omnə,o.m.n.e,'/O\m.n/(ə)\,_,78,fro,N,N,homme,DMF,homme,NOMcom,NOMcom,smr,,"SLeger, l. 78",,<lb/>
472,78,4,no,no,no,n.o,n/o\,+,78,fro,Neg,Neg$$,ne,DMF,ne,ADVneg,ADVneg,,,"SLeger, l. 78",,
473,78,5,l,l,L,l,/\L,_,78,fro,Prn,Prn$$,le,DMF,le,PRCper,PRCper,3sna,,"SLeger, l. 78",,
474,78,6,demonstrat,demonstrat,dEmONStrað,d.e.m.o.n.s.t.r.a.t,d/E\.m/O\NS.'tr/a\ð,.|,78,fro,Vfin,Vfin,démontrer,DMF,démontrer,VERcjg,VERcjg,indpsp3,,"SLeger, l. 78",</l></lg>,
475,79,1,Quant,quant,kANT,qu.a.n.t,k/A\NT,_,79,fro,Sub,Sub,quand,DMF,quand,CONsub,CONsub,,,"SLeger, l. 79",,<lb/><lg n=&quot;14&quot; rhyme=&quot;aabbcc&quot; type=&quot;stanza&quot; met=&quot;octosyllable&quot;><l n=&quot;79&quot;>
476,79,2,ciel,ciel,Çel,c.ie.l,Ç/e\l,_,79,fro,Dem,Dem,cil,DMF,cil,DETdem,DETdem,sfn,,"SLeger, l. 79",,
477,79,3,irae,irae,irə,i.r.ae,'/i\.r/(ə)\,_,79,fro,N,N,ire,DMF,ire,NOMcom,NOMcom,sfn,,"SLeger, l. 79",,
478,79,4,tels,tels,tæLS,t.e.l.s,t/æ\LS,|,79,fro,Adj,Adj,tel,DMF,tel,ADJind,ADJind,sfn,,"SLeger, l. 79",,
479,79,5,esdeuent,esdevent,ESdEvENT,e.s.d.e.v.e.n.t,/E\S.d/E\.'v/E\NT,_,79,fro,Vfin,Vfin,esdevenir,DMF,esdevenir,VERcjg,VERcjg,indpsp3,,"SLeger, l. 79",</l>,<lb/>
480,80,1,paschas,paschas,paSkəS,p.a.s.ch.a.s,'p/a\S.k/ə\S,_,80,fro,N,N,Pâques,DMF,Pâques,NOMpro,NOMpro,pfn,,"SLeger, l. 80",,<l n=&quot;80&quot;>
481,80,2,furent,furent,fyrəNT,f.u.r.e.n.t,'f/y\.r/ə\NT,|,80,fro,Vfin,Vfin,être,DMF,être,VERcjg,VERcjg,indpsp6,,"SLeger, l. 80",,
482,80,3,in,in,iN,i.n,/i\N,+,80,fro,Pre,Pre,en,DMF,en,PRE,PRE,,,"SLeger, l. 80",,<lb/>
483,80,4,eps,eps,ePS,e.p.s,/e\PS,_,80,fro,Adj,Adj,es2,TL,,DETind,DETind,smr,,"SLeger, l. 80",,
484,80,5,cel,cel,Çel,c.e.l,Ç/e\l,+,80,fro,Dem,Dem,cil,DMF,cil,DETdem,DETdem,smr,,"SLeger, l. 80",,
485,80,6,di,di,di,d.i,d/i\,_,80,fro,N,N,di,DMF,di,NOMcom,NOMcom,smr,,"SLeger, l. 80",</l>,
486,81,1,et,et,eð,e.t,/e\ð,_,81,fro,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,,"SLeger, l. 81",,<l n=&quot;81&quot;>
487,81,2,s[ancz],sancz,SANTS,s.a.n.c.z,S/A\NTS,_,81,fro,Adj,Adj,saint,DMF,saint,ADJqua,ADJqua,smn,,"SLeger, l. 81",,
488,81,3,l[ethgiers],lethgiers,LETʤiErS,l.e.th.g.i.e.r.s,L/E\T.'ʤ/iE\rS,_,81,fro,N,N,Léger,wikipedia.fr,,NOMpro,NOMpro,smn,,"SLeger, l. 81",,
489,81,4,fist,fist,fiST,f.i.s.t,f/i\ST,_,81,fro,Vfin,Vfin,faire,DMF,faire,VERcjg,VERcjg,indpsp3,,"SLeger, l. 81",,
490,81,5,son,son,SON,s.o.n,S/O\N,_,81,fro,Det,Det,son4,DMF,son4,DETpos,DETpos,3smr,,"SLeger, l. 81",,
491,81,6,mistier,mistier,miStiEr,m.i.s.t.i.e.r,m/i\S.'t/iE\r,.|,81,fro,N,N,métier,DMF,métier,NOMcom,NOMcom,smr,,"SLeger, l. 81",</l>,
492,82,1,missæ,missae,misə,m.i.ss.ae,'m/i\.s/(ə)\,_,82,fro,N,N,messe,DMF,messe,NOMcom,NOMcom,sfr,,"SLeger, l. 82",,<lb/><l n=&quot;82&quot;>
493,82,2,cantat,cantat,ċANtað,c.a.n.t.a.t,ċ/A\N.'t/a\ð,_,82,fro,Vfin,Vfin,chanter,DMF,chanter,VERcjg,VERcjg,indpsp3,,"SLeger, l. 82",,
494,82,3,fist,fist,fiST,f.i.s.t,f/i\ST,_,82,fro,Vfin,Vfin,faire,DMF,faire,VERcjg,VERcjg,indpsp3,,"SLeger, l. 82",,
495,82,4,lo,lo,Lu,l.o,L/(u)\,_,82,fro,Prn,Prn%%,le,DMF,le,PRCper,PRCper,3sna,,"SLeger, l. 82",,
496,82,5,mul,mul,mol,m.u.l,m/o\l,+,82,fro,QIs,QIs,moult,DMF,moult,ADVgen,ADVgen,,,"SLeger, l. 82",,
497,82,6,ben,ben,biEn,b..e.n,b/iE\n,.|,82,fro,Adv,Adv,bien,DMF,bien,ADVgen,ADVgen,,,"SLeger, l. 82",</l>,
498,83,1,pobl,pobl,pObL0,p.o.b.l.,'p/O\.bL/(0)\,+,83,fro,N,N,peuple,DMF,peuple,NOMcom,NOMcom,smr,,"SLeger, l. 83",,<lb/><l n=&quot;83&quot;>
499,83,2,en,en,En,e.n,/E\n,_,83,fro,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,,"SLeger, l. 83",,
500,83,3,lo,lo,Lu,l.o,L/(u)\,_,83,fro,Det,Det,le,DMF,le,DETdef,DETdef,smr,,"SLeger, l. 83",,
501,83,4,rei,rei,rei,r.e.i,r/e\i,_,83,fro,N,N,roi,DMF,roi,NOMcom,NOMcom,smr,,"SLeger, l. 83",,
502,83,5,com_muniet,communiet,kOmyniɛð,c.o.mm.u.n.i.e.t,k/O\.m/y\.n/i\.'/ɛ\ð,.|,83,fro,Vfin,Vfin,communier,DMF,communier,VERcjg,VERcjg,indpsp3,,"SLeger, l. 83",</l>,
503,84,1,et,et,eð,e.t,/e\ð,+,84,fro,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,,"SLeger, l. 84",,<lb/><l n=&quot;84&quot;>
504,84,2,sens,sens,SEnS,s.e.n.s,S/E\nS,_,84,fro,Pre,Pre,sans,DMF,sans,PRE,PRE,,,"SLeger, l. 84",,
505,84,3,cum_giet,cumgiet,kONʤiEð,c.u.m.g.i.e.t,k/O\N.'ʤ/iE\ð,_,84,fro,N,N,congé,DMF,congé,NOMcom,NOMcom,smr,,"SLeger, l. 84",,
506,84,4,si,si,Si,s.i,S/i\,+,84,fro,Adv,Adv,si4,DMF,si4,ADVgen,ADVgen,,,"SLeger, l. 84",,
507,84,5,s,s,S,s,/\S,+,84,fro,Prn,Prn$$,se,DMF,se,PRCper,PRCper,3smr,,"SLeger, l. 84",,
508,84,6,en,en,EN,e.n,/E\N,+,84,fro,Prn,Prn$$,en2,DMF,en2,PRCadv,PRCadv,,,"SLeger, l. 84",,
509,84,7,ralet,ralet,rAlɛð,r.a.l.e.t,r/A\.'l/ɛ\ð,.|,84,fro,Vfin,Vfin,raller,DMF,raller,VERcjg,VERcjg,indpsp3,,"SLeger, l. 84",</l></lg>,
510,85,1,Reis,reis,reiS,r.e.i.s,r/e\iS,_,85,fro,N,N,roi,DMF,roi,NOMcom,NOMcom,smn,,"SLeger, l. 85",,<lb/><lg n=&quot;15&quot; rhyme=&quot;aabbcc&quot; type=&quot;stanza&quot; met=&quot;octosyllable&quot;><l n=&quot;85&quot;>
511,85,2,chielperics,chielperics,kELpEriKS,ch.ie.l.p.e.r.i.c.s,k/E\L.p/E\.'r/i\KS,_,85,fro,N,N,Childéric,wikipedia.fr,,NOMpro,NOMpro,smn,,"SLeger, l. 85",,
512,85,3,cum,cum,kOm,c.u.m,k/O\m,_,85,fro,Sub,Sub,comme,DMF,comme,CONsub,CONsub,,,"SLeger, l. 85",,
513,85,4,il,il,il,i.l,/i\l,|,85,fro,Prn,Prn$,il,DMF,il,PRNper,PRNper,3smn,,"SLeger, l. 85",,
514,85,5,l,l,L,l,L/\,+,85,fro,Prn,Prn$$,le,DMF,le,PRCper,PRCper,3sna,,"SLeger, l. 85",,<lb/>
515,85,6,audit,audit,Auðið,a.u.d.i.t,/A\u.'ð/i\ð,.,85,fro,Vfin,Vfin,ouïr,DMF,ouïr,VERcjg,VERcjg,indpsp3,,"SLeger, l. 85",</l>,
516,86,1,presdra,presdra,preSdrə,p.r.e.s.d.r.a,'pr/e\S.dr/(ə)\,+,86,fro,Vfin,Vfin,prendre,DMF,prendre,VERcjg,VERcjg,indpqp3,,"SLeger, l. 86",,<l n=&quot;86&quot;>
517,86,2,sos,sos,SoS,s.o.s,S/o\S,_,86,fro,Det,Det,son4,DMF,son4,DETpos,DETpos,3pmr,,"SLeger, l. 86",,
518,86,3,meis,meis,meS,m.ei.s,m/e\S,|,86,fro,N,N,mes,DMF,mes,NOMcom,NOMcom,pmr,,"SLeger, l. 86",,
519,86,4,a,a,A,a,/A\,+,86,fro,Pre,Pre,à,DMF,à,PRE,PRE,,,"SLeger, l. 86",,<lb/>
520,86,5,lui,lui,Lyi,l.u.i,L/y\i,+,86,fro,Prn,Prn,lui,DMF,lui,PRNper,PRNper,3smr,,"SLeger, l. 86",,
521,86,6,s,s,S,s,/\S,+,86,fro,Prn,Prn$$,le,DMF,le,PRCper,PRCper,6pma,,"SLeger, l. 86",,
522,86,7,tramist,tramist,trAmiST,t.r.a.m.i.s.t,tr/A\.'m/i\ST,_,86,fro,Vfin,Vfin,tramettre,DMF,tramettre,VERcjg,VERcjg,indpsp3,,"SLeger, l. 86",</l>,
523,87,1,cio,cio,Çɔ,ci.o,Ç/ɔ\,+,87,fro,Prn,Prn,ce,DMF,ce,PRNdem,PRNdem,snr,,"SLeger, l. 87",,<l n=&quot;87&quot;>
524,87,2,li,li,Li,l.i,L/i\,+,87,fro,Prn,Prn$$,li,DMF,li,PRCper,PRCper,3smi,,"SLeger, l. 87",,
525,87,3,mandat,mandat,mANdað,m.a.n.d.a.t,m/A\N.'d/a\ð,|,87,fro,Vfin,Vfin,mander,DMF,mander,VERcjg,VERcjg,indpsp3,,"SLeger, l. 87",,
526,87,4,que,que,kE,qu.e,k/(E)\,+,87,fro,Sub,Sub,que,DMF,que,CONsub,CONsub,,,"SLeger, l. 87",,<lb/>
527,87,5,reuenist,revenist,rEvEniST,r.e.v.e.n.i.s.t,r/E\.v/E\.'n/i\ST,.,87,fro,Vfin,Vfin,revenir,DMF,revenir,VERcjg,VERcjg,subipf3,,"SLeger, l. 87",</l>,
528,88,1,sa,sa,Sa,s.a,S/(a)\,+,88,fro,Det,Det,son4,DMF,son4,DETpos,DETpos,3sfr,,"SLeger, l. 88",,<l n=&quot;88&quot;>
529,88,2,gratia,gratia,QRVQVV,g.r.a.t.i.a,QR/V\.Q/V\.'/V\,_,88,lat,N,N,grâce,DMF,grâce,NOMcom,NOMcom,sfr,,"SLeger, l. 88",,
530,88,3,por,por,por,p.o.r,p/o\r,|,88,fro,Pre,Pre,pour,DMF,pour,PRE,PRE,,,"SLeger, l. 88",,
531,88,4,tot,tot,toT,t.o.t,t/o\T,_,88,fro,QIs,QIs,tout,DMF,tout,PRNind,PRNind,snr,,"SLeger, l. 88",,<lb/>
532,88,5,ouist,ouist,OuiST,o.u.i.s.t,/O\u.'/i\ST,:,88,fro,Vfin,Vfin,ouïr,DMF,ouïr,VERcjg,VERcjg,subipf3,,"SLeger, l. 88",</l>,
533,89,1,et,et,eð,e.t,/e\ð,_,89,fro,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,,"SLeger, l. 89",,<l n=&quot;89&quot;>
534,89,2,sancz,sancz,SANTS,s.a.n.c.z,S/A\NTS,_,89,fro,Adj,Adj,saint,DMF,saint,ADJqua,ADJqua,smn,,"SLeger, l. 89",,
