wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
168,47,1,aco,aco,–|,Akɔ,a.c.o,,pro,PRNdem,PRNdem,snn,aco,DOM,,"CantAnn, l. 47",,<lb/>,<l n=&quot;47&quot;><q>
169,47,2,sia,sia,–,SiA,s.i.a,,pro,VERcjg,VERcjg,subpst3,èser,DOM,,"CantAnn, l. 47",,,
170,47,3,a,a,+,A,a,,pro,PRE,PRE,,a2,DOM,,"CantAnn, l. 47",,,
171,47,4,u,u,+,u,u,,pro,DETdef,DETdef,smr,lo2,DOM,,"CantAnn, l. 47",,,
172,47,5,so,so,_,So,s.o,,pro,ADJpos,ADJpos,3smr,sóN2,DOM,,"CantAnn, l. 47",,,
173,47,6,talent,talent,–,tAlENT,t.a.l.e.n.t,,pro,NOMcom,NOMcom,smr,talén,DOM,,"CantAnn, l. 47",,</q></l>,
174,48,1,e,e,_,V,e,/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 48",,<supplied reason=&quot;missing&quot;>virgine maria</supplied></l></lg>,<l xml:lang=&quot;lat&quot; n=&quot;48&quot;>
175,49,1,O,o,_,V,o,/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 49",,,<lg xml:lang=&quot;lat&quot; n=&quot;13&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;49&quot;>
176,49,2,beata,beata,_,QVVQV,b.e.a.t.a,Q/V\.'/V\.Q/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 49",,,
177,49,3,femina,femina,–,QVNVNV,f.e.m.i.n.a,'Q/V\.N/V\.'N/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 49",,</l>,
178,50,1,cui[us],cuius,_,QVRVQ,c.u.i.u.s,'Q/V\.R/V\Q,lat,ETR,ETR,,---,---,,"CantAnn, l. 50",,,<l n=&quot;50&quot;>
