wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lang,pos,morph,lemma,lemma_src,lemma_dmf,ref,tei_right,tei_left
75,5,7,pietet,pietet,piEtæð,p.i.e.t.e.t,p/i\./E\.'t/æ\ð,_,fro,NOMcom,sfr,piété,DMF,piété,"AlexisProl, f. 29r, l. 7",,
76,5,8,la,la,La,l.a,L/a\,+,fro,DETdef,sfr,le,DMF,le,"AlexisProl, f. 29r, l. 7",,
77,5,9,sue,sue,Suə,s.u.e,'S/u\./ə\,_,fro,ADJpos,3sfr,sien,DMF,sien,"AlexisProl, f. 29r, l. 7",,
78,5,10,spuse,spuse,Spuzə,s.p.u.s.e,'Sp/u\.z/ə\,_,fro,NOMcom,sfr,épouse,DMF,épouse,"AlexisProl, f. 29r, l. 7",,
79,5,11,iuuene,juvene,ʤuvənə,j.u.v.e.n.e,'ʤ/u\.v/ə\.n/ə\,_,fro,ADJqua,sfr,jeune,DMF,jeune,"AlexisProl, f. 29r, l. 7",,
80,5,12,cuman|dat,cumandat,kOmÆNdað,c.u.m.a.n.d.a.t,k/O\.m/Æ\N.'d/a\ð,_,fro,VERcjg,indpsp3,commander,DMF,commander,"AlexisProl, f. 29r, l. 7",,
81,5,13,a,a,a,a,/a\,+,fro,PRE,---,à,DMF,à,"AlexisProl, f. 29r, l. 8",,<lb n=&quot;8&quot;/>
82,5,14,l,l,L,l,/\L,+,fro,DETdef,smr,le,DMF,le,"AlexisProl, f. 29r, l. 8",,
83,5,15,spus,spus,SpuS,s.p.u.s,Sp/u\S,_,fro,NOMcom,smr,époux,DMF,époux,"AlexisProl, f. 29r, l. 8",,
84,5,16,uif,vif,viF,v.i.f,v/i\F,_,fro,ADJqua,smr,vif,DMF,vif,"AlexisProl, f. 29r, l. 8",,
85,5,17,de,de,dE,d.e,d/E\,_,fro,PRE,---,de,DMF,de,"AlexisProl, f. 29r, l. 8",,
86,5,18,ueritet,veritet,vEritæð,v.e.r.i.t.e.t,v/E\.r/i\.'t/æ\ð,_,fro,NOMcom,sfr,vérité,DMF,vérité,"AlexisProl, f. 29r, l. 8",,
