wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
1,1,1,In,in,_,VN,i.n,/V\N,lat,ETR,ETR,,---,---,,"PrVierge2, l. 1",,,<text><body xml:lang=&quot;pro&quot;><pb n=&quot;48r&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f103.item&quot;/><lb/><lg xml:lang=&quot;lat&quot; n=&quot;1&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;1&quot;>
2,1,2,hoc,hoc,_,QVQ,h.o.c,Q/V\Q,lat,ETR,ETR,,---,---,,"PrVierge2, l. 1",,,
3,1,3,anni,anni,–,VNNV,a.n.n.i,'/V\N.N/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 1",,,
4,1,4,circulo,circulo,–,QVRQVLV,c.i.r.c.u.l.o,'Q/V\R.Q/V\.'L/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 1",,</l>,
5,2,1,uita,vita,–,QVQV,v.i.t.a,'Q/V\.Q/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 2",,,<l n=&quot;2&quot;>
6,2,2,datur,datur,–,QVQVR,d.a.t.u.r,'Q/V\.Q/V\R,lat,ETR,ETR,,---,---,,"PrVierge2, l. 2",,,
7,2,3,seculo,seculo,–,QVQVLV,s.e.c.u.l.o,'Q/V\.Q/V\.'L/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 2",,</l>,
8,3,1,nato,nato,_,NVQV,n.a.t.o,'N/V\.Q/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 3",,,<l n=&quot;3&quot;>
9,3,2,nobis,nobis,–,NVQVQ,n.o.b.i.s,'N/V\.Q/V\Q,lat,ETR,ETR,,---,---,,"PrVierge2, l. 3",,,
10,3,3,paruulo,parvulo,–|,QVRQVLV,p.a.r.v.u.l.o,'Q/V\R.Q/V\.'L/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 3",,</l><lb/>,
