wd_id,line_id,line_wd,textlineid,ref,dipl,word,phon,phon_map,syllabified,wd_div,lang,pos,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
55,4,11,13,"EpreuveJudic, l. 4",aute[m],autem,,,,.,lat,---,---,---,---,---,,</s></item>,
56,4,12,14,"EpreuveJudic, l. 4",All[eluia],alleluia,,,,.,lat,---,---,---,---,---,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
57,4,13,15,"EpreuveJudic, l. 4",Dulce,dulce,,,,_,lat,---,---,---,---,---,,,<item><s xml:lang=&quot;lat&quot;>
58,4,14,15,"EpreuveJudic, l. 4",lignum,lignum,,,,.|,lat,---,---,---,---,---,,</s></item>,
59,5,1,16,"EpreuveJudic, l. 5",Ev[an]g[elium],evangelium,,,,.,lat,---,---,---,---,---,,</s></label>,<lb n=&quot;5&quot;/> <label><s xml:lang=&quot;lat&quot;>
60,5,2,17,"EpreuveJudic, l. 5",Erat,erat,,,,_,lat,---,---,---,---,---,,,<item><s xml:lang=&quot;lat&quot;>
61,5,3,17,"EpreuveJudic, l. 5",homo,homo,,,,_,lat,---,---,---,---,---,,,
62,5,4,17,"EpreuveJudic, l. 5",ex,ex,,,,_,lat,---,---,---,---,---,,,
63,5,5,17,"EpreuveJudic, l. 5",phariseis,phariseis,,,,.,lat,---,---,---,---,---,,</s></item>,
64,5,6,18,"EpreuveJudic, l. 5",of[fertorium],offertorium,,,,.,lat,---,---,---,---,---,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
65,5,7,19,"EpreuveJudic, l. 5",Protege,protege,,,,_,lat,---,---,---,---,---,,,<item><s xml:lang=&quot;lat&quot;>
66,5,8,19,"EpreuveJudic, l. 5",d[omi]ne,domine,,,,.,lat,---,---,---,---,---,,</s></item>,
67,5,9,20,"EpreuveJudic, l. 5",SECRETA,secreta,,,,.,lat,---,---,---,---,---,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
68,5,10,21,"EpreuveJudic, l. 5",Sacrifitiu[m],sacrifitium,,,,_,lat,---,---,---,---,---,,,<item><s xml:lang=&quot;lat&quot;>
69,5,11,21,"EpreuveJudic, l. 5",d[omi]ne,domine,,,,.|,lat,---,---,---,---,---,,</s></item>,
70,6,1,22,"EpreuveJudic, l. 6",Agn[us],agnus,,,,_,lat,---,---,---,---,---,,,<lb n=&quot;6&quot;/><label><s xml:lang=&quot;lat&quot;>
71,6,2,22,"EpreuveJudic, l. 6",d[e]i,dei,,,,.,lat,---,---,---,---,---,,</s></label>,
