wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lang,para_id,syntag,syntag2,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_right,tei_left
46,6,7,a_iudha,aiudha,Aiyðə,a.i.u.dh.a,/A\i.'/y\.ð/ə\,.|,fro,2,N,N,aide,DMF,aide,NOMcom,NOMcom,sfr,"Serments, 13r, col. b, l. 8",,
47,7,1,[et],et,eð,e.t,/e\ð,_,fro,2,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,"Serments, 13r, col. b, l. 9",,<lb n=&quot;9&quot;/>
48,7,2,in,in,EN,i.n,/E\N,_,fro,2,Pre,Pre,en,DMF,en,PRE,PRE,,"Serments, 13r, col. b, l. 9",,
49,7,3,cad_huna,cadhuna,kAðynə,c.a.dh.u.n.a,k/A\.'ð/y\.n/ə\,_,fro,2,QIs,QIs,chacun,DMF,chacun,DETind,DETind,sfr,"Serments, 13r, col. b, l. 9",,
50,7,4,cosa,cosa,kɔzə,c.o.s.a,'k/ɔ\.z/ə\,.,fro,2,N,N,chose,DMF,chose,NOMcom,NOMcom,sfr,"Serments, 13r, col. b, l. 9",,
51,7,5,si,si,Si,s.i,S/i\,+,fro,2,Adv,Adv,si4,DMF,si4,ADVgen,ADVgen,,"Serments, 13r, col. b, l. 9",,
52,7,6,cu[m],cum,kOm,c.u.m,k/O\m,_,fro,2,Sub,Sub,comme,DMF,comme,CONsub,CONsub,,"Serments, 13r, col. b, l. 9",,
53,7,7,om,om,Om,o.m,/O\m,_,fro,2,Prn,Prn,on,DMF,on,PRNind,PRNind,snn,"Serments, 13r, col. b, l. 9",,
54,7,8,p[er],per,pEr,p.e.r,p/E\r,_,fro,2,Pre,Pre,par,DMF,par,PRE,PRE,,"Serments, 13r, col. b, l. 9",,
55,7,9,dreit,dreit,dreiT,d.r.e.i.t,dr/e\iT,_,fro,2,N,N,droit,DMF,droit,NOMcom,NOMcom,smr,"Serments, 13r, col. b, l. 9",,
56,7,10,son,son,SON,s.o.n,S/O\N,|,fro,2,Det,Det,son4,DMF,son4,DETpos,DETpos,3smr,"Serments, 13r, col. b, l. 9",,
57,8,1,fradra,fradra,frAðrə,f.r.a.d.r.a,'fr/A\.ðr/ə\,_,fro,2,N,N,frère,DMF,frère,NOMcom,NOMcom,smr,"Serments, 13r, col. b, l. 10",,<lb n=&quot;10&quot;/>
58,8,2,saluar,salvar,SALvAr,s.a.l.v.a.r,S/A\L.'v/A\r,_,fro,2,Vinf,Vinf,sauver,DMF,sauver,VERinf,VERinf,,"Serments, 13r, col. b, l. 10",,
59,8,3,dift,dift,deFT,d.i.f.t,d/e\FT,.,fro,2,Vfin,Vfin,devoir2,DMF,devoir2,VERcjg,VERcjg,indpst3,"Serments, 13r, col. b, l. 10",,
60,8,4,In,in,EN,i.n,/E\N,+,fro,2,Pre,Pre,en,DMF,en,PRE,PRE,,"Serments, 13r, col. b, l. 10",,
61,8,5,o,o,ɔ,o,/ɔ\,_,fro,2,Dem,Dem,o4,DMF,o4,PRNdem,PRNdem,snr,"Serments, 13r, col. b, l. 10",,
62,8,6,quid,quid,kEð,qu.i.d,k/E\ð,_,fro,2,Sub,Sub,que,DMF,que,CONsub,CONsub,,"Serments, 13r, col. b, l. 10",,
63,8,7,il,il,il,i.l,/i\l,_,fro,2,Prn,Prn,il,DMF,il,PRNper,PRNper,3smn,"Serments, 13r, col. b, l. 10",,
64,8,8,mi,mi,me,m.i,m/e\,+,fro,2,Prn,Prn,moi,DMF,moi,PRNper,PRNper,1smr,"Serments, 13r, col. b, l. 10",,
