wd_id,line_id,linewd,dipl,wd_div,word,phon,phon_map,syllabified,lang,pos,pos_syn,morph,penn_pos,syntag,syntag2,lemma,lemma_src,lemma_dmf,ref,tei_right,tei_left
413,55,6,tal,_,tal,tAl,t.a.l,t/A\l,pro,DETind,DETind,sfr,D,Adj,Adj,tal,DOM,tel,"Boeci, l. 55",,
414,55,7,raizó,|,raizo,rAiʣo,r.a.i.z.o,r/A\i.'ʣ/o\,pro,NOMcom,NOMcom,sfr,NCS,N,N,razóN,DOM,raison,"Boeci, l. 55",</l>,
415,56,1,que,_,que,ke,qu.e,k/(e)\,pro,CONsub,CONsub,,CONJS,Sub,Sub,que2,DOM,que,"Boeci, l. 56",,<lb/><l n=&quot;56&quot;>
416,56,2,passen,_,passen,pAsEn,p.a.ss.e.n,'p/A\.s/E\n,pro,VERcjg,VERcjg,subpst6,VJ,Vfin,Vfin,pasar,DOM,passer,"Boeci, l. 56",,
417,56,3,mar,_,mar,mAr,m.a.r,m/A\r,pro,NOMcom,NOMcom,sfr,NCS,N,N,mar,DOM,mer,"Boeci, l. 56",,
418,56,4,guarnit,_,guarnit,guArniT,g.u.a.r.n.i.t,gu/A\r.'n/i\T,pro,VERppe,VERppe,pmn,VPP,Vpp,Vpp,garnir,DOM,garnir,"Boeci, l. 56",,
419,56,5,de,_,de,dE,d.e,d/(E)\,pro,PRE,PRE,,P,Pre,Pre,de,DOM,de,"Boeci, l. 56",,
420,56,6,contencó,.,contenco,kONtENÇo,c.o.n.t.e.n.c.o,k/O\N.t/E\N.'Ç/o\,pro,NOMcom,NOMcom,sfr,NCS,N,N,contensóN,DOM,contention,"Boeci, l. 56",</l>,
421,57,1,eu,_,eu,eu,e.u,/e\u,pro,PRNper,PRNper,3smn,PRO,Prn,Prn$,el2,DOM,il,"Boeci, l. 57",,<l n=&quot;57&quot;>
422,57,2,lor,_,lor,Lor,l.o.r,L/o\r,pro,PRCper,PRCper,6pmi,PRO,Prn,Prn$$,lor,DOM,leur,"Boeci, l. 57",,
423,57,3,redra,_,redra,rEdrA,r.e.d.r.a,r/E\.'dr/A\,pro,VERcjg,VERcjg,indfut3,VJ,Vfin,Vfin,rèdre,DOM,rendre,"Boeci, l. 57",,
424,57,4,roma,_,roma,rOmA,r.o.m.a,'r/O\.m/(A)\,pro,NOMpro,NOMpro,sfr,NPRS,N,N,Roma,---,Rome,"Boeci, l. 57",,
425,57,5,p[er],_,per,pEr,p.e.r,p/E\r,pro,PRE,PRE,,P,Pre,Pre,pér,DOM,par,"Boeci, l. 57",,
426,57,6,tra|azo,_,traazo,trAAʣo,t.r.a.a.z.o,tr/A\./A\.'ʣ/o\,pro,NOMcom,NOMcom,sfr,NCS,N,N,traazóN,DOM,trahison,"Boeci, l. 57",</l>,
427,58,1,lo,_,lo,LO,l.o,L/(O)\,pro,DETdef,DETdef,smn,D,Det,Det,lo2,DOM,le,"Boeci, l. 58",,<lb/><l n=&quot;58&quot;>
428,58,2,sénz,_,senz,SENÇ,s.e.n.z,S/E\NÇ,pro,NOMcom,NOMcom,smn,NCS,N,N,sén,DOM,sens,"Boeci, l. 58",,
429,58,3,teiric,.,teiric,tEiriK,t.e.i.r.i.c,t/E\i.'r/i\K,pro,NOMpro,NOMpro,smr,NPRS,N,N,Théodoric,---,,"Boeci, l. 58",,
430,58,4,miga,_,miga,migA,m.i.g.a,'m/i\.g/(A)\,pro,ADVneg,ADVneg,,ADVNEG,Neg,Neg,mica,DOM,mie3,"Boeci, l. 58",,
431,58,5,no,_,no,no,n.o,n/o\,pro,ADVneg,ADVneg,,NEG,Neg,Neg$$,nóN,DOM,ne,"Boeci, l. 58",,
432,58,6,fo,_,fo,fo,f.o,f/o\,pro,VERcjg,VERcjg,indpsp3,VJ,Vfin,Vfin,èser,DOM,être,"Boeci, l. 58",,
433,58,7,de,_,de,dE,d.e,d/(E)\,pro,PRE,PRE,,P,Pre,Pre,de,DOM,de,"Boeci, l. 58",,
434,58,8,bo,.,bo,bo,b.o,b/o\,pro,ADJqua,ADJqua,snr,ADJ,Adj,Adj,bóN,DOM,bon,"Boeci, l. 58",</l>,
435,59,1,fez,_,fez,feÇ,f.e.z,f/e\Ç,pro,VERcjg,VERcjg,indpsp3,VJ,Vfin,Vfin,faire,DOM,faire,"Boeci, l. 59",,<l n=&quot;59&quot;>
436,59,2,sos,_,sos,SOS,s.o.s,S/O\S,pro,DETpos,DETpos,3pmr,DZ,Det,Det,sos,DOM,son4,"Boeci, l. 59",,
437,59,3,mes,_,mes,meS,m.e.s,m/e\S,pro,NOMcom,NOMcom,pmr,NCS,N,N,més2,DOM,mes,"Boeci, l. 59",,
438,59,4,segre,_,segre,SɛgrE,s.e.g.r.e,'S/ɛ\.gr/(E)\,pro,VERinf,VERinf,,VX,Vinf,Vinf,sègre,DOM,suivre,"Boeci, l. 59",,
439,59,5,si,+,si,Si,s.i,S/<i>\,pro,ADVgen,ADVgen,,ADV,Adv,Adv,si2,DOM,si4,"Boeci, l. 59",,
440,59,6,lz,_,lz,LÇ,l.z,/\LÇ,pro,PRCper,PRCper,6pma,PRO,Prn,Prn$$,los2,DOM,le,"Boeci, l. 59",,
441,59,7,fez,|,fez,feÇ,f.e.z,f/e\Ç,pro,VERcjg,VERcjg,indpsp3,VJ,Vfin,Vfin,faire,DOM,faire,"Boeci, l. 59",,
442,59,8,metre,_,metre,metrE,m.e.t.r.e,'m/e\.tr/(E)\,pro,VERinf,VERinf,,VX,Vinf,Vinf,métre,DOM,mettre,"Boeci, l. 59",,<pb n=&quot;271&quot;/><lb/>
443,59,9,e,+,e,E,e,/E\,pro,PRE,PRE,,P,Pre,Pre,én,DOM,en,"Boeci, l. 59",,
444,59,10,preso,.,preso,prEzo,p.r.e.s.o,pr/E\.'z/o\,pro,NOMcom,NOMcom,sfr,NCS,N,N,preizóN,DOM,prison,"Boeci, l. 59",</l></lg>,
445,60,1,E,+,e,E,e,/E\,pro,PRE,PRE,,P,Pre,Pre,én,DOM,en,"Boeci, l. 60",,<lg n=&quot;8&quot; type=&quot;laisse&quot; met=&quot;decasyllable&quot;><l n=&quot;60&quot;>
446,60,2,l,_,l,L,l,/\L,pro,DETdef,DETdef,smr,D,Det,Det,lo2,DOM,le,"Boeci, l. 60",,
447,60,3,capitoli,_,capitoli,kApitɔli,c.a.p.i.t.o.l.i,k/A\.p/i\.'t/ɔ\.l/<i>\,pro,NOMcom,NOMcom,smr,NCS,N,N,capitoli,DOM,capitole,"Boeci, l. 60",,
448,60,4,l,+,l,L,l,L/\,pro,DETdef,DETdef,smr,D,Det,Det,lo2,DOM,le,"Boeci, l. 60",,
449,60,5,en_dema,_,endema,ENdEmA,e.n.d.e.m.a,/E\N.d/E\.'m/A\,pro,NOMcom,NOMcom,smr,NCS,N,N,endemaN,DOM,endemain,"Boeci, l. 60",,
450,60,6,a,+,a,A,a,/A\,pro,PRE,PRE,,P,Pre,Pre,a2,DOM,à,"Boeci, l. 60",,
451,60,7,l,_,l,L,l,/\L,pro,DETdef,DETdef,smr,D,Det,Det,lo2,DOM,le,"Boeci, l. 60",,
452,60,8,dia,_,dia,diA,d.i.a,'d/<i>\./(A)\,pro,NOMcom,NOMcom,smr,NCS,N,N,di,DOM,di,"Boeci, l. 60",,
453,60,9,clar,.,clar,kLAr,c.l.a.r,kL/A\r,pro,ADJqua,ADJqua,smr,ADJ,Adj,Adj,clar,DOM,clair,"Boeci, l. 60",</l>,
454,61,1,l_ai,_,lai,LAi,l.a.i,L/A\i,pro,ADVgen,ADVgen,,ADV,Adv,Adv,lai,DOM,là,"Boeci, l. 61",,<l n=&quot;61&quot;>
455,61,2,o,+,o,o,o,/o\,pro,PRNrel,PRNrel,,WPRO,Qux,Qux,ó,DOM,où,"Boeci, l. 61",,
456,61,3,solíen,_,solien,SOliEn,s.o.l.i.e.n,S/O\.'l/<i>\./E\n,pro,VERcjg,VERcjg,indipf6,VJ,Vfin,Vfin,solér,DOM,souloir,"Boeci, l. 61",,
457,61,4,l_as,|,las,LAS,l.a.s,L/A\S,pro,DETdef,DETdef,pfn,D,Det,Det,las3,DOM,le,"Boeci, l. 61",,
458,61,5,altras,_,altras,ALtrAS,a.l.t.r.a.s,'/A\L.tr/A\S,pro,ADJind,ADJind,pfn,ADJ,Adj,Adj,autre,DOM,autre,"Boeci, l. 61",,<lb/>
459,61,6,leis,_,leis,LeiS,l.e.i.s,L/e\iS,pro,NOMcom,NOMcom,pfn,NCPL,N,N,léi,DOM,loi,"Boeci, l. 61",,
460,61,7,iutiar,_,jutjar,ʤytʤAr,j.u.t.j.a.r,ʤ/y\t.'ʤ/A\r,pro,VERinf,VERinf,,VX,Vinf,Vinf,jutjar,DOM,juger,"Boeci, l. 61",</l>,
461,62,1,lai,_,lai,LAi,l.a.i,L/A\i,pro,ADVgen,ADVgen,,ADV,Adv,Adv,lai,DOM,là,"Boeci, l. 62",,<l n=&quot;62&quot;>
462,62,2,ueng,_,veng,vENK,v.e.n.g,v/E\NK,pro,VERcjg,VERcjg,indpsp3,VJ,Vfin,Vfin,venir,DOM,venir,"Boeci, l. 62",,
463,62,3,lo,+,lo,LO,l.o,L/(O)\,pro,DETdef,DETdef,smn,D,Det,Det,lo2,DOM,le,"Boeci, l. 62",,
464,62,4,reis,_,reis,reiS,r.e.i.s,r/e\iS,pro,NOMcom,NOMcom,smn,NCS,N,N,réi,DOM,roi,"Boeci, l. 62",,
465,62,5,sa,_,sa,SA,s.a,S/(A)\,pro,DETpos,DETpos,3sfr,DZ,Det,Det,sa,DOM,son4,"Boeci, l. 62",,
466,62,6,fel_ni_a,_,felnia,fELniA,f.e.l.n.i.a,f/E\L.'n/i\./(A)\,pro,NOMcom,NOMcom,sfr,NCS,N,N,felnia,DOM,félonie,"Boeci, l. 62",,
467,62,7,menár,_,menar,mEnAr,m.e.n.a.r,m/E\.'n/A\r,pro,VERinf,VERinf,,VX,Vinf,Vinf,menar,DOM,mener,"Boeci, l. 62",</l>,
468,63,1,l_ai,_,lai,LAi,l.a.i,L/A\i,pro,ADVgen,ADVgen,,ADV,Adv,Adv,lai,DOM,là,"Boeci, l. 63",,<l n=&quot;63&quot;>
469,63,2,fo,_,fo,fo,f.o,f/o\,pro,VERcjg,VERcjg,indpsp3,VJ,Vfin,Vfin,èser,DOM,être,"Boeci, l. 63",,
470,63,3,boecis,|,boecis,bOɛʦiS,b.o.e.c.i.s,b/O\.'/ɛ\.ʦ/i\S,pro,NOMpro,NOMpro,smn,NPRS,N,N,Boèci,---,,"Boeci, l. 63",,
471,63,4,e,+,e,e,e,/e\,pro,CONcoo,CONcoo,,CONJO,Crd,Crd,e,DOM,et,"Boeci, l. 63",,<lb/>
472,63,5,foren,.,foren,forEn,f.o.r.e.n,'f/o\.r/E\n,pro,VERcjg,VERcjg,indpsp6,VJ,Vfin,Vfin,èser,DOM,être,"Boeci, l. 63",,
473,63,6,i,_,i,i,i,/i\,pro,PRCadv,PRCadv,,PRO,Prn,Prn%%,i,DOM,y2,"Boeci, l. 63",,
474,63,7,soi,_,soi,Soi,s.o.i,S/o\i,pro,DETpos,DETpos,3pmn,DZ,Det,Det,siei,DOM,son4,"Boeci, l. 63",,
475,63,8,par,.,par,pAr,p.a.r,p/A\r,pro,NOMcom,NOMcom,pmn,NCS,N,N,par,DOM,pair,"Boeci, l. 63",</l>,
476,64,1,lo,+,lo,LO,l.o,L/(O)\,pro,DETdef,DETdef,smn,D,Det,Det,lo2,DOM,le,"Boeci, l. 64",,<l n=&quot;64&quot;>
477,64,2,reis,_,reis,reiS,r.e.i.s,r/e\iS,pro,NOMcom,NOMcom,smn,NCS,N,N,réi,DOM,roi,"Boeci, l. 64",,
478,64,3,lo,_,lo,Lu,l.o,L/(u)\,pro,PRCper,PRCper,3sma,PRO,Prn,Prn$$,lo3,DOM,le,"Boeci, l. 64",,
479,64,4,pres,_,pres,preS,p.r.e.s,pr/e\S,pro,VERcjg,VERcjg,indpsp3,VJ,Vfin,Vfin,préndre,DOM,prendre,"Boeci, l. 64",,
480,64,5,de,_,de,dE,d.e,d/(E)\,pro,PRE,PRE,,P,Pre,Pre,de,DOM,de,"Boeci, l. 64",,
481,64,6,felni,+,felni,fELni0,f.e.l.n.i.,f/E\L.'n/i\./[0]\,pro,NOMcom,NOMcom,sfr,NCS,N,N,felnia,DOM,félonie,"Boeci, l. 64",,
482,64,7,a,_,a,A,a,/A\,pro,PRE,PRE,,P,Pre,Pre,a2,DOM,à,"Boeci, l. 64",,
483,64,8,reptar,.,reptar,rEPtAr,r.e.p.t.a.r,r/E\P.'t/A\r,pro,VERinf,VERinf,,VX,Vinf,Vinf,reptar,DOM,reter,"Boeci, l. 64",</l>,
484,65,1,qu,+,qu,k,qu,k/\,pro,CONsub,CONsub,,CONJS,Sub,Sub,que2,DOM,que,"Boeci, l. 65",,<l n=&quot;65&quot;>
485,65,2,el,_,el,el,e.l,/e\l,pro,PRNper,PRNper,3smn,PRO,Prn,Prn$,el2,DOM,il,"Boeci, l. 65",,
486,65,3,trametía,_,trametia,trAmEtiA,t.r.a.m.e.t.i.a,tr/A\.m/E\.'t/<i>\./(A)\,pro,VERcjg,VERcjg,indipf3,VJ,Vfin,Vfin,tramétre,DOM,tramettre,"Boeci, l. 65",,
487,65,4,los,|,los,LOS,l.o.s,L/O\S,pro,DETdef,DETdef,pmr,D,Det,Det,los,DOM,le,"Boeci, l. 65",,
488,65,5,breus,_,breus,breuS,b.r.e.u.s,br/e\uS,pro,NOMcom,NOMcom,pmr,NCPL,N,N,bréu2,DOM,bref,"Boeci, l. 65",,<lb/>
489,65,6,ultra,_,ultra,oLtrA,u.l.t.r.a,'/o\L.tr/(A)\,pro,PRE,PRE,,P,PrA,PrA,óltra,DOM,outre,"Boeci, l. 65",,
490,65,7,la,_,la,LA,l.a,L/A\,pro,DETdef,DETdef,sfr,D,Det,Det,la,DOM,le,"Boeci, l. 65",,
491,65,8,mar,.,mar,mAr,m.a.r,m/A\r,pro,NOMcom,NOMcom,sfr,NCS,N,N,mar,DOM,mer,"Boeci, l. 65",</l>,
492,66,1,a,_,a,A,a,/A\,pro,PRE,PRE,,P,Pre,Pre,a2,DOM,à,"Boeci, l. 66",,<l n=&quot;66&quot;>
493,66,2,óbs,_,obs,ɔPS,o.b.s,/ɔ\PS,pro,NOMcom,NOMcom,smr,NCS,N,N,òps,DOM,ues,"Boeci, l. 66",,
494,66,3,los,_,los,LOS,l.o.s,L/O\S,pro,DETdef,DETdef,pmr,D,Det,Det,los,DOM,le,"Boeci, l. 66",,
495,66,4,grex,_,grex,grɛKS,g.r.e.x.,gr/ɛ\KS,pro,NOMcom,NOMcom,pmr,NCPL,Adj,Adj,grec2,DOM,grec,"Boeci, l. 66",,
496,66,5,roma,_,roma,rOmA,r.o.m.a,'r/O\.m/(A)\,pro,NOMpro,NOMpro,sfr,NPRS,N,N,Roma,---,Rome,"Boeci, l. 66",,
497,66,6,uolia,_,volia,vOliA,v.o.l.i.a,v/O\.'l/<i>\./(A)\,pro,VERcjg,VERcjg,indipf3,MDJ,Vfin,Vfin,volér,DOM,vouloir,"Boeci, l. 66",,
498,66,7,tradár,.,tradar,trAdAr,t.r.a.d.a.r,tr/A\.'d/A\r,pro,VERinf,VERinf,,VX,Vinf,Vinf,tradar,DOM,,"Boeci, l. 66",</l>,
499,67,1,pero,_,pero,pErO,p.e.r.o,p/E\.'r/O\,pro,CONcoo,CONcoo,,ADV,Crd,Crd,pero,DOM,,"Boeci, l. 67",,<l n=&quot;67&quot;>
500,67,2,boeci,|,boeci,bOɛʦi,b.o.e.c.i,b/O\.'/ɛ\.ʦ/<i>\,pro,NOMpro,NOMpro,smr,NPRS,N,N,Boèci,---,,"Boeci, l. 67",,
501,67,3,anc,_,anc,ANK,a.n.c,/A\NK,pro,ADVgen,ADVgen,,ADV,Adv,Adv,anc,DOM,onques,"Boeci, l. 67",,<lb/>
502,67,4,no,_,no,no,n.o,n/o\,pro,ADVneg,ADVneg,,NEG,Neg,Neg$$,nóN,DOM,ne,"Boeci, l. 67",,
503,67,5,uenc,_,venc,vENK,v.e.n.c,v/E\NK,pro,VERcjg,VERcjg,indpsp3,VJ,Vfin,Vfin,venir,DOM,venir,"Boeci, l. 67",,
504,67,6,e,+,e,E,e,/E\,pro,PRE,PRE,,P,Pre,Pre,én,DOM,en,"Boeci, l. 67",,
505,67,7,pesat,.,pesat,pEsAT,p.e.s.a.t,p/E\.'s/A\T,pro,NOMcom,NOMcom,smr,NCS,N,N,pensat,DOM,pensé,"Boeci, l. 67",</l>,
506,68,1,sal,_,sal,SAʎ,s.a.l,S/A\ʎ,pro,VERcjg,VERcjg,indpst3,VJ,Vfin,Vfin,salhir,DOM,saillir,"Boeci, l. 68",,<l n=&quot;68&quot;>
507,68,2,en,+,en,EN,e.n,/E\N,pro,PRE,PRE,,P,Pre,Pre,én,DOM,en,"Boeci, l. 68",,
508,68,3,estant,_,estant,EStANT,e.s.t.a.n.t,/E\S.'t/A\NT,pro,VERppa,VERppa,snr,VG,Vprs,Vprs,estar,DOM,ester,"Boeci, l. 68",,
509,68,4,e,_,e,e,e,/e\,pro,CONcoo,CONcoo,,CONJO,Crd,Crd,e,DOM,et,"Boeci, l. 68",,
510,68,5,cuidet,_,cuidet,kyidɛT,c.u.i.d.e.t,k/y\i.'d/ɛ\T,pro,VERcjg,VERcjg,indpsp3,VJ,Vfin,Vfin,cuidar,DOM,cuider,"Boeci, l. 68",,
511,68,6,s,+,s,S,s,S/\,pro,PRCper,PRCper,3smr,PRO,Prn,Prn%$,sé,DOM,se,"Boeci, l. 68",,
512,68,7,en,_,en,En,e.n,/E\n,pro,PRCadv,PRCadv,,PRO,Prn,Prn%$,én3,DOM,en2,"Boeci, l. 68",,
513,68,8,saluar,.,salvar,SALvAr,s.a.l.v.a.r,S/A\L.'v/A\r,pro,VERinf,VERinf,,VX,Vinf,Vinf,salvar,DOM,sauver,"Boeci, l. 68",</l>,
514,69,1,l,+,l,L,l,L/\,pro,DETdef,DETdef,smn,D,Det,Det,lo2,DOM,le,"Boeci, l. 69",,<l n=&quot;69&quot;>
515,69,2,om,.,om,Om,o.m,/O\m,pro,PRNind,PRNind,smn,NCS,Prn,Prn$,óme,DOM,on,"Boeci, l. 69",,
516,69,3,no,_,no,no,n.o,n/o\,pro,ADVneg,ADVneg,,NEG,Neg,Neg$$,nóN,DOM,ne,"Boeci, l. 69",,
517,69,4,l,|,l,L,l,/\L,pro,PRCper,PRCper,3sma,PRO,Prn,Prn$$,lo3,DOM,le,"Boeci, l. 69",,
518,69,5,laiset,_,laiset,LAisɛT,l.a.i.s.e.t,L/A\i.'s/ɛ\T,pro,VERcjg,VERcjg,indpsp3,VJ,Vfin,Vfin,laisar,DOM,laisser,"Boeci, l. 69",,<lb/>
519,69,6,a,+,a,A,a,/A\,pro,PRE,PRE,,P,Pre,Pre,a2,DOM,à,"Boeci, l. 69",,
520,69,7,saluament,_,salvament,SALvAmENT,s.a.l.v.a.m.e.n.t,S/A\L.v/A\.'m/E\NT,pro,NOMcom,NOMcom,smr,NCS,N,N,salvamén2,DOM,sauvement,"Boeci, l. 69",,
521,69,8,annar,.,annar,AnnAr,a.n.n.a.r,/A\n.'n/A\r,pro,VERinf,VERinf,,VX,Vinf,Vinf,anar,DOM,aner,"Boeci, l. 69",</l>,
522,70,1,cil,_,cil,Çil,c.i.l,Ç/i\l,pro,PRNdem,PRNdem,pmn,PRO,Dem,Dem,cél2,DOM,cil,"Boeci, l. 70",,<l n=&quot;70&quot;>
523,70,2,li,_,li,Li,l.i,L/<i>\,pro,PRCper,PRCper,3smi,PRO,Prn,Prn$$,li3,DOM,li,"Boeci, l. 70",,
524,70,3,falíren,_,faliren,fAlirEn,f.a.l.i.r.e.n,f/A\.'l/i\.r/E\n,pro,VERcjg,VERcjg,indpsp6,VJ,Vfin,Vfin,falhir,DOM,faillir,"Boeci, l. 70",,
525,70,4,que,+,que,ke,qu.e,k/(e)\,pro,PRNrel,PRNrel,pmn,WPRO,Qux,Qux,que,DOM,que,"Boeci, l. 70",,
526,70,5,l,_,l,L,l,/\L,pro,PRCper,PRCper,3sma,PRO,Prn,Prn$$,lo3,DOM,le,"Boeci, l. 70",,
527,70,6,solient,_,solient,SOliENT,s.o.l.i.e.n.t,S/O\.'l/<i>\./E\NT,pro,VERcjg,VERcjg,indipf6,VJ,Vfin,Vfin,solér,DOM,souloir,"Boeci, l. 70",,
528,70,7,aiudar,.|,ajudar,AʤydAr,a.j.u.d.a.r,/A\.ʤ/y\.'d/A\r,pro,VERinf,VERinf,,VX,Vinf,Vinf,ajudar,DOM,aider,"Boeci, l. 70",</l>,
529,71,1,fez,_,fez,feÇ,f.e.z,f/e\Ç,pro,VERcjg,VERcjg,indpsp3,VJ,Vfin,Vfin,faire,DOM,faire,"Boeci, l. 71",,<lb/><l n=&quot;71&quot;>
530,71,2,lo,_,lo,Lu,l.o,L/(u)\,pro,PRCper,PRCper,3sma,PRO,Prn,Prn%%,lo3,DOM,le,"Boeci, l. 71",,
531,71,3,lo,_,lo,LO,l.o,L/(O)\,pro,DETdef,DETdef,smn,D,Det,Det,lo2,DOM,le,"Boeci, l. 71",,
532,71,4,reis,_,reis,reiS,r.e.i.s,r/e\iS,pro,NOMcom,NOMcom,smn,NCS,N,N,réi,DOM,roi,"Boeci, l. 71",,
533,71,5,e,+,e,E,e,/E\,pro,PRE,PRE,,P,Pre,Pre,én,DOM,en,"Boeci, l. 71",,
534,71,6,sa,_,sa,SA,s.a,S/(A)\,pro,DETpos,DETpos,3sfr,DZ,Det,Det,sa,DOM,son4,"Boeci, l. 71",,
535,71,7,charcer,_,charcer,kArÇEr,ch.a.r.c.e.r,'k/A\r.Ç/E\r,pro,NOMcom,NOMcom,sfr,NCS,N,N,carcer,DOM,chartre,"Boeci, l. 71",,
536,71,8,gitar,.,gitar,ʤitAr,g.i.t.a.r,ʤ/i\.'t/A\r,pro,VERinf,VERinf,,VX,Vinf,Vinf,gitar,DOM,jeter,"Boeci, l. 71",</l></lg>,
537,72,1,Ec,_,ec,ɛK,e.c,/ɛ\K,pro,ADVgen,ADVgen,,ITJ,NVP,NVP,èc,DOM,es2,"Boeci, l. 72",,<lg n=&quot;9&quot; type=&quot;laisse&quot; met=&quot;decasyllable&quot;><l n=&quot;72&quot;>
538,72,2,uos,_,vos,voS,v.o.s,v/o\S,pro,PRNper,PRNper,5pmr,PRO,Prn,Prn,vos,DOM,vous,"Boeci, l. 72",,
539,72,3,boeci,.,boeci,bOɛʦi,b.o.e.c.i,b/O\.'/ɛ\.ʦ/<i>\,pro,NOMpro,NOMpro,smr,NPRS,N,N,Boèci,---,,"Boeci, l. 72",,
540,72,4,cadegut,_,cadegut,kAðEgyT,c.a.d.e.g.u.t,k/A\.ð/E\.'g/y\T,pro,VERppe,VERppe,smr,VPP,Vpp,Vpp,cazér,DOM,choir,"Boeci, l. 72",,
541,72,5,e_n,+,en,EN,e.n,/E\N,pro,PRE,PRE,,P,Pre,Pre,én,DOM,en,"Boeci, l. 72",,
542,72,6,afan,.|,afan,AfAn,a.f.a.n,/A\.'f/A\n,pro,NOMcom,NOMcom,smr,NCS,N,N,afan,DOM,ahan,"Boeci, l. 72",</l>,
543,73,1,e,_,e,E,e,/E\,pro,PRE,PRE,,P,Pre,Pre,én,DOM,en,"Boeci, l. 73",,<lb/><l n=&quot;73&quot;>
544,73,2,granz,_,granz,grANTS,g.r.a.n.z.,gr/A\NTS,pro,ADJqua,ADJqua,pfr,ADJ,Adj,Adj,gran,DOM,grand,"Boeci, l. 73",,
545,73,3,kdenas[=kadenas],_,kadenas,kAdenAS,k.a.d.e.n.a.s,k/A\.'d/e\.n/A\S,pro,NOMcom,NOMcom,pfr,NCPL,N,N,cadéna,DOM,chaîne,"Boeci, l. 73",,
546,73,4,qui,_,qui,ki,qu.i,k/<i>\,pro,PRNrel,PRNrel,pmn,WPRO,Qux,Qux,qui,DOM,qui,"Boeci, l. 73",,
547,73,5,l,+,l,L,l,L/\,pro,PRCper,PRCper,3smi,PRO,Prn,Prn$$,li3,DOM,li,"Boeci, l. 73",,
548,73,6,están,_,estan,EStAn,e.s.t.a.n,/E\S.'t/A\n,pro,VERcjg,VERcjg,indpst6,VJ,Vfin,Vfin,estar,DOM,ester,"Boeci, l. 73",,
549,73,7,apesant,.,apesant,ApEzANT,a.p.e.s.a.n.t,/A\.p/E\.'z/A\NT,pro,ADJqua,ADJqua,pmn,ADJ,Adj,Adj,apezan,DOM,appeser,"Boeci, l. 73",</l>,
550,74,1,reclama,_,reclama,rEkLAmA,r.e.c.l.a.m.a,r/E\.'kL/A\.m/(A)\,pro,VERcjg,VERcjg,indpst3,VJ,Vfin,Vfin,reclamar,DOM,reclamer,"Boeci, l. 74",,<l n=&quot;74&quot;>
551,74,2,deu,_,deu,dɛu,d.e.u,d/ɛ\u,pro,NOMpro,NOMpro,smr,NPRS,N,N,dèu,DOM,Dieu,"Boeci, l. 74",,
552,74,3,de,+,de,dE,d.e,d/(E)\,pro,PRE,PRE,,P,Pre,Pre,de,DOM,de,"Boeci, l. 74",,
553,74,4,cel,_,cel,Çɛl,c.e.l,Ç/ɛ\l,pro,NOMcom,NOMcom,smr,NCS,N,N,cèl,DOM,ciel,"Boeci, l. 74",,
554,74,5,lo,|,lo,LO,l.o,L/(O)\,pro,DETdef,DETdef,smr,D,Det,Det,lo2,DOM,le,"Boeci, l. 74",,
555,74,6,rei,_,rei,rei,r.e.i,r/e\i,pro,NOMcom,NOMcom,smr,NCS,N,N,réi,DOM,roi,"Boeci, l. 74",,<lb/>
556,74,7,lo,_,lo,LO,l.o,L/(O)\,pro,DETdef,DETdef,smr,D,Det,Det,lo2,DOM,le,"Boeci, l. 74",,
557,74,8,grant,.,grant,grANT,g.r.a.n.t,gr/A\NT,pro,ADJqua,ADJqua,smr,ADJ,Adj,Adj,gran,DOM,grand,"Boeci, l. 74",</l>,
558,75,1,d[om]ne,_,domne,dOmnE,d.o.m.n.e,'d/O\m.n/(E)\,pro,NOMcom,NOMcom,smn,NCS,N,N,dón,DOM,dan,"Boeci, l. 75",,<l n=&quot;75&quot;><q>
559,75,2,pater,_,pater,QVQVR,p.a.t.e.r,Q/V\.'Q/V\R,lat,NOMcom,NOMcom,smn,NCS,N,N,paire,DOM,père,"Boeci, l. 75",,
560,75,3,e,_,e,E,e,/E\,pro,PRE,PRE,,P,Pre,Pre,én,DOM,en,"Boeci, l. 75",,
561,75,4,te,+,te,te,t.e,t/(e)\,pro,PRNper,PRNper,2smr,PRO,Prn,Prn,te,DOM,toi,"Boeci, l. 75",,
562,75,5,m,_,m,m,m,/\m,pro,PRCper,PRCper,1smr,PRO,Prn,Prn$$,me,DOM,me,"Boeci, l. 75",,
563,75,6,fiau,+,fiav,fiAv0,f.i.a.v.,f/i\.'/A\.v/[0]\,pro,VERcjg,VERcjg,indipf1,VJ,Vfin,Vfin,fizar,DOM,fier,"Boeci, l. 75",,
564,75,7,eu,_,eu,eu,e.u,/e\u,pro,PRNper,PRNper,1smn,PRO,Prn,Prn%,eu,DOM,je,"Boeci, l. 75",,
565,75,8,tant,.,tant,tANT,t.a.n.t,t/A\NT,pro,ADVgen,ADVgen,,Q,QIs,QIs,tan,DOM,tant,"Boeci, l. 75",</q></l>,
566,76,1,é,_,e,E,e,/E\,pro,PRE,PRE,,P,Pre,Pre,én,DOM,en,"Boeci, l. 76",,<l n=&quot;76&quot;><q>
567,76,2,cui,_,cui,kyi,c.u.i,k/y\i,pro,DETrel,DETrel,sfr,WADJ,Qux,Qux,qui,DOM,qui,"Boeci, l. 76",,
