wd_id,line_id,linewd,dipl,wd_div,word,phon,phon_map,syllabified,lang,pos,pos_syn,morph,penn_pos,syntag,syntag2,lemma,lemma_src,lemma_dmf,ref,tei_right,tei_left
78,10,6,altre,_,altre,ALtrE,a.l.t.r.e,'/A\L.tr/(E)\,pro,PRNind,PRNind,smr,NCS,Adj,Adj,autre,DOM,autre,"Boeci, l. 10",,
79,10,7,si,+,si,Si,s.i,S/<i>\,pro,CONsub,CONsub,,CONJS,Sub,Sub,si,DOM,si3,"Boeci, l. 10",,
80,10,8,s,_,s,S,s,/\S,pro,PRCper,PRCper,3smr,PRO,Prn,Prn$$,sé,DOM,se,"Boeci, l. 10",,
81,10,9,fai,_,fai,fAi,f.a.i,f/A\i,pro,VERcjg,VERcjg,indpst3,VJ,Vfin,Vfin,faire,DOM,faire,"Boeci, l. 10",,
82,10,10,fals,+,fals,fALS,f.a.l.s,f/A\LS,pro,ADJqua,ADJqua,smr,ADJ,Adj,Adj,fals,DOM,faux,"Boeci, l. 10",,
83,10,11,sacrament,|,sacrament,SAkrAmENT,s.a.c.r.a.m.e.n.t,S/A\.kr/A\.'m/E\NT,pro,NOMcom,NOMcom,smr,NCS,N,N,sagramén,DOM,sacrement,"Boeci, l. 10",</l>,
84,11,1,quant,_,quant,kANT,qu.a.n.t,k/A\NT,pro,CONsub,CONsub,,CONJS,Sub,Sub,can,DOM,quand,"Boeci, l. 11",,<lb/><l n=&quot;11&quot;>
85,11,2,o,+,o,o,o,/o\,pro,PRCdem,PRCdem,snr,PRO,Prn,Prn$$,ó2,DOM,,"Boeci, l. 11",,
86,11,3,[+a],+,a,A,a,/A\,pro,VERcjg,VERcjg,indpst3,AJ,Vfin,Vfin,avér,DOM,avoir,"Boeci, l. 11",,
87,11,4,fait,_,fait,fAiT,f.a.i.t,f/A\iT,pro,VERppe,VERppe,snr,VPP,Vpp,Vpp,faire,DOM,faire,"Boeci, l. 11",,
88,11,5,miia,_,mija,miʤA,m.i.j.a,'m/i\.ʤ/(A)\,pro,ADVneg,ADVneg,,ADV,Neg,Neg,mica,DOM,mie3,"Boeci, l. 11",,
89,11,6,no,+,no,no,n.o,n/o\,pro,ADVneg,ADVneg,,NEG,Neg,Neg$$,nóN,DOM,ne,"Boeci, l. 11",,
90,11,7,s,+,s,S,s,/\S,pro,PRCper,PRCper,3smr,PRO,Prn,Prn$$,sé,DOM,se,"Boeci, l. 11",,
91,11,8,en,_,en,En,e.n,/E\n,pro,PRCadv,PRCadv,,PRO,Prn,Prn$$,én3,DOM,en2,"Boeci, l. 11",,
92,11,9,repent,.,repent,rEpENT,r.e.p.e.n.t,r/E\.'p/E\NT,pro,VERcjg,VERcjg,indpst3,VJ,Vfin,Vfin,repentir,DOM,repentir,"Boeci, l. 11",</l>,
93,12,1,e,+,e,e,e,/e\,pro,CONcoo,CONcoo,,CONJO,Crd,Crd,e,DOM,et,"Boeci, l. 12",,<l n=&quot;12&quot;>
94,12,2,ni,+,ni,ni,n.i,n/<i>\,pro,CONcoo,CONcoo,,CONJO,Crd,Crd,ni,DOM,ne2,"Boeci, l. 12",,
95,12,3,uers,_,vers,vɛrS,v.e.r.s,v/ɛ\rS,pro,PRE,PRE,,P,PrA,PrA,vas2,DOM,vers2,"Boeci, l. 12",,
96,12,4,deu,_,deu,dɛu,d.e.u,d/ɛ\u,pro,NOMpro,NOMpro,smr,NPRS,N,N,dèu,DOM,Dieu,"Boeci, l. 12",,
97,12,5,no,+,no,no,n.o,n/o\,pro,ADVneg,ADVneg,,NEG,Neg,Neg$$,nóN,DOM,ne,"Boeci, l. 12",,
98,12,6,[n],_,n,n,n,/\n,pro,PRCadv,PRCadv,,PRO,Prn,Prn$$,én3,DOM,en2,"Boeci, l. 12",,
99,12,7,fai,_,fai,fAi,f.a.i,f/A\i,pro,VERcjg,VERcjg,indpst3,VJ,Vfin,Vfin,faire,DOM,faire,"Boeci, l. 12",,
