wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,ety_map,lang,textlineid,pos,pos_ogr,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
143,26,5,s_criptura,scriptura,–,QQRVQQVRV,s.c.r.i.p.t.u.r.a,QQR/V\Q.'Q/V\.R/V\,,lat,24,NOUN,NOMcom,sfn,scriptura,wiktionary,scripture,"Spons, l. 24",,,
144,26,6,o,o,+,O,o,/O\,,pro,24,PRON,PRCdem,snr,ó2,DOM,---,"Spons, l. 24",,,
145,26,7,dii,dii,–,dii,d.i.i,d/i\i,d-.ì[.-c-(e[)(-t-),pro,24,VERB,VERcjg,indpst3,dire,DOM,dire,"Spons, l. 24",,</l>,
146,27,1,gabriels,gabriels,–,gAbriELS,g.a.b.r.i.e.l.s,g/A\.br/i\.'/E\LS,,pro,25,PROPN,NOMpro,smn,Gabriel,wikipedia.fr,---,"Spons, l. 25",,,<l n=&quot;25&quot;>
147,27,2,soi,soi,–,Soi,s.o.i,S/o\i,,pro,25,VERB,VERcjg,indpst1,èser,DOM,être,"Spons, l. 25",,,
148,27,3,eu,eu,_,ɛu,e.u,/ɛ\u,,pro,25,PRON,PRNper,1smn,eu,DOM,je,"Spons, l. 25",,,
149,27,4,tra–|mes,trames,–,trAmeS,t.r.a.m.e.s,tr/A\.'m/e\S,t-.r-.a[.-m-.é[.-s-(e[)(-t-),pro,25,VERB,VERppe,smn,tramétre,DOM,tramettre,"Spons, l. 25",,,
150,27,5,aici,aici,–,Aisi,a.i.c.i,/A\i.'s/i\,,pro,25,ADV,ADVgen,---,aici,DOM,ici,"Spons, l. 25",,</l>,<lb/>
151,28,1,atend[et],atendet,–,AtENdɛT,a.t.e.n.d.e.t,/A\.t/E\N.'d/ɛ\T,a].-tt-.è].-n.d-.è[.-t-(e[)(-s-),pro,26,VERB,VERcjg,imp---5,aténdre,DOM,attendre,"Spons, l. 26",,,<l n=&quot;26&quot;>
152,28,2,lo,lo,_,LO,l.o,L/(O)\,,pro,26,PRON,PRCper,3sma,lo3,DOM,le,"Spons, l. 26",,,
153,28,3,que,que,_,kE,qu.e,k/(E)\,,pro,26,PRON,PRNrel,smr,que,DOM,que,"Spons, l. 26",,,
154,28,4,ia,ja,_,ʤA,j.a,ʤ/A\,,pro,26,ADV,ADVgen,---,ja,DOM,jà,"Spons, l. 26",,,
155,28,5,uenra,venra,–,vENrA,v.e.n.r.a,v/E\N.'r/A\,,pro,26,VERB,VERcjg,indfut3,venir,DOM,venir,"Spons, l. 26",,,
156,28,6,praici,praici,_,prAisi,p.r.a.i.c.i,pr/A\i.s/i\,,pro,26,ADV,ADVgen,---,aici,DOM,ici,"Spons, l. 26",,</l>,
157,29,1,Gaire,gaire,_,gAirE,g.a.i.r.e,'g/A\i.r/(E)\,,pro,27,ADV,ADVgen,---,gaire,DOM,guère,"Spons, l. 27",,<supplied reason=&quot;missing&quot;>no i dormet</supplied></l></lg></sp>,<l n=&quot;27&quot;>
158,30,1,Fatve,fatue,|,,,,,lat,---,NOUN,---,---,fatuus,wiktionary,---,"Spons, f. 54r, rubric",,</speaker>,<sp><speaker>
159,31,1,Nos,nos,_,NVQ,n.o.s,N/V\Q,,lat,28,PRON,---,---,nos,wiktionary,---,"Spons, l. 28",,,<lb/><lg type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaab&quot;><l xml:lang=&quot;lat&quot; n=&quot;28&quot;>
160,31,2,uirgines,virgines,–,QVRQVNVQ,v.i.r.g.i.n.e.s,'Q/V\R.Q/V\.'N/V\Q,,lat,28,NOUN,---,---,virgo,wiktionary,---,"Spons, l. 28",,,
161,31,3,que,que,_,QRV,q.u.e,QR/V\,,lat,28,PRON,---,---,qui,wiktionary,---,"Spons, l. 28",,,
162,31,4,ad,ad,+,VQ,a.d,/V\Q,,lat,28,ADP,---,---,ad,wiktionary,---,"Spons, l. 28",,,
163,31,5,uos,vos,–,QVQ,v.o.s,Q/V\Q,,lat,28,PRON,---,---,vos,wiktionary,---,"Spons, l. 28",,,
164,31,6,uenimus,venimus,–,QVNVNVQ,v.e.n.i.m.u.s,'Q/V\.N/V\.'N/V\Q,,lat,28,VERB,---,---,venio,wiktionary,---,"Spons, l. 28",,</l>,
165,32,1,negligenter,negligenter,–,NVQLVQVNQVR,n.e.g.l.i.g.e.n.t.e.r,N/V\Q.L/V\.'Q/V\N.Q/V\R,,lat,29,ADV,---,---,negligenter,---,---,"Spons, l. 29",,,<l xml:lang=&quot;lat&quot; n=&quot;29&quot;>
166,32,2,oleum,oleum,–|,VLVVN,o.l.e.u.m,'/V\.L/V\.'/V\N,,lat,29,NOUN,---,---,oleum,wiktionary,---,"Spons, l. 29",,,
167,32,3,fu(n)dimus,fudimus,–,QVQVNVQ,f.u.d.i.m.u.s,'Q/V\.Q/V\.'N/V\Q,,lat,29,VERB,---,---,fundo,wiktionary,---,"Spons, l. 29",,</l>,<lb/>
168,33,1,ad,ad,+,VQ,a.d,/V\Q,,lat,30,ADP,---,---,ad,wiktionary,---,"Spons, l. 30",,,<l xml:lang=&quot;lat&quot; n=&quot;30&quot;>
169,33,2,uos,vos,–,QVQ,v.o.s,Q/V\Q,,lat,30,PRON,---,---,vos,wiktionary,---,"Spons, l. 30",,,
170,33,3,orare,orare,–,VRVRV,o.r.a.r.e,/V\.'R/V\.R/V\,,lat,30,VERB,---,---,oro,wiktionary,---,"Spons, l. 30",,,
171,33,4,sorores,sorores,–,QVRVRVQ,s.o.r.o.r.e.s,Q/V\.'R/V\.R/V\Q,,lat,30,NOUN,---,---,soror,wiktionary,---,"Spons, l. 30",,,
172,33,5,cupimus,cupimus,–,QVQVNVQ,c.u.p.i.m.u.s,'Q/V\.Q/V\.'N/V\Q,,lat,30,VERB,---,---,cupio,wiktionary,---,"Spons, l. 30",,</l>,
173,34,1,ut,ut,–,VQ,u.t,/V\Q,,lat,31,SCONJ,---,---,ut,wiktionary,---,"Spons, l. 31",,,<l xml:lang=&quot;lat&quot; n=&quot;31&quot;>
174,34,2,[et],et,+,VQ,e.t,/V\Q,,lat,31,CCONJ,---,---,et,wiktionary,---,"Spons, l. 31",,,
175,34,3,illas,illas,–,VLLVQ,i.l.l.a.s,'/V\L.L/V\Q,,lat,31,PRON,---,---,ille,wiktionary,---,"Spons, l. 31",,,
176,34,4,q[u]ibus,quibus,_,QRVQVQ,q.u.i.b.u.s,'QR/V\.Q/V\Q,,lat,31,PRON,---,---,qui,wiktionary,---,"Spons, l. 31",,,
177,34,5,nos,nos,–|,NVQ,n.o.s,N/V\Q,,lat,31,PRON,---,---,nos,wiktionary,---,"Spons, l. 31",,,
178,34,6,credimus,credimus,–,QRVQVNVQ,c.r.e.d.i.m.u.s,'QR/V\.Q/V\.'N/V\Q,,lat,31,VERB,---,---,credo,wiktionary,---,"Spons, l. 31",,</l>,<lb/>
179,35,1,dolentas,dolentas,–,dOlENtAS,d.o.l.e.n.t.a.s,d/O\.'l/E\N.t/A\S,d-.o[.-l-.è].-n.t-.a[.-s-,pro,32,ADJ,ADJqua,pfn,dolén,DOM,dolent,"Spons, l. 32",,,<l n=&quot;32&quot;>
180,35,2,chaitiuas,chaitivas,–,ċAitivAS,ch.a.i.t.i.v.a.s,ċ/A\i.'t/i\.v/A\S,k-.a].-p.t-.ì[.-w-.a[.-s-,pro,32,ADJ,ADJqua,pfn,caitiu,DOM,chétif,"Spons, l. 32",,,
181,35,3,trop,trop,_,trɔP,t.r.o.p,tr/ɔ\P,,pro,32,ADV,ADVgen,---,tròp2,DOM,trop,"Spons, l. 32",,,
182,35,4,i,i,_,i,i,/i\,,pro,32,PRON,PRCadv,---,i,DOM,y2,"Spons, l. 32",,,
183,35,5,auem,avem,_,AvEm,a.v.e.m,/A\.'v/E\m,a[.-b-.é[.-m-(o[)(-s-),pro,32,AUX,VERcjg,indpst4,avér,DOM,avoir,"Spons, l. 32",,,
184,35,6,dormit,dormit,–,dOrmiT,d.o.r.m.i.t,d/O\r.'m/i\T,d-.o].-r.m-.ì[.-t-(o[),pro,32,VERB,VERppe,snr,dormir,DOM,dormir,"Spons, l. 32",,</l></lg>,
185,36,1,Nos,nos,_,NVQ,n.o.s,N/V\Q,,lat,33,PRON,---,---,nos,wiktionary,---,"Spons, l. 33",,,<lg type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaab&quot;><l xml:lang=&quot;lat&quot; n=&quot;33&quot;>
186,36,2,co–|mites,comites,–,QVNVQVQ,c.o.m.i.t.e.s,'Q/V\.N/V\.'Q/V\Q,,lat,33,NOUN,---,---,comes,wiktionary,---,"Spons, l. 33",,,
187,36,3,huius,huius,–,QVRVQ,h.u.i.u.s,'Q/V\.R/V\Q,,lat,33,ADJ,---,---,hic,wiktionary,---,"Spons, l. 33",,,<pb n=&quot;54v&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f115.item&quot;/><lb/>
188,36,4,itineris,itineris,–,VQVNVRVQ,i.t.i.n.e.r.i.s,/V\.'Q/V\.N/V\.'R/V\Q,,lat,33,NOUN,---,---,iter,wiktionary,---,"Spons, l. 33",,</l>,
189,37,1,[et],et,+,VQ,e.t,/V\Q,,lat,34,CCONJ,---,---,et,wiktionary,---,"Spons, l. 34",,,<l xml:lang=&quot;lat&quot; n=&quot;34&quot;>
190,37,2,sorores,sorores,–,QVRVRVQ,s.o.r.o.r.e.s,Q/V\.'R/V\.R/V\Q,,lat,34,NOUN,---,---,soror,wiktionary,---,"Spons, l. 34",,,
191,37,3,ei[us]dem,eiusdem,–,VRVQQVN,e.i.u.s.d.e.m,/V\.'R/V\Q.Q/V\N,,lat,34,ADJ,---,---,idem,wiktionary,---,"Spons, l. 34",,,
192,37,4,generis,generis,–,QVNVRVQ,g.e.n.e.r.i.s,'Q/V\.N/V\.'R/V\Q,,lat,34,NOUN,---,---,genus,wiktionary,---,"Spons, l. 34",,</l>,
193,38,1,quam_uis,quamvis,_,QRVNQVQ,q.u.a.m.v.i.s,'QR/V\N.Q/V\Q,,lat,35,ADV,---,---,quamvis,wiktionary,---,"Spons, l. 35",,,<l xml:lang=&quot;lat&quot; n=&quot;35&quot;>
194,38,2,male,male,–|,NVLV,m.a.l.e,'N/V\.L/V\,,lat,35,ADV,---,---,male,wiktionary,---,"Spons, l. 35",,,
195,38,3,contigit,contigit,–,QVNQVQVQ,c.o.n.t.i.g.i.t,'Q/V\N.Q/V\.'Q/V\Q,,lat,35,VERB,---,---,contingo,wiktionary,---,"Spons, l. 35",,,<lb/>
196,38,4,miseris,miseris,–,NVQVRVQ,m.i.s.e.r.i.s,'N/V\.Q/V\.'R/V\Q,,lat,35,NOUN,---,---,miserus,wiktionary,---,"Spons, l. 35",,</l>,
197,39,1,potestis,potestis,+,QVQVQQVQ,p.o.t.e.s.t.i.s,Q/V\.'Q/V\Q.Q/V\Q,,lat,36,VERB,---,---,possum,wiktionary,---,"Spons, l. 36",,,<l xml:lang=&quot;lat&quot; n=&quot;36&quot;>
198,39,2,nos,nos,–,NVQ,n.o.s,N/V\Q,,lat,36,PRON,---,---,nos,wiktionary,---,"Spons, l. 36",,,
199,39,3,reddere,reddere,–,RVQQVRV,r.e.d.d.e.r.e,'R/V\Q.Q/V\.'R/V\,,lat,36,VERB,---,---,reddo,wiktionary,---,"Spons, l. 36",,,
200,39,4,sup[er]_is,superis,_,QVQVRVQ,s.u.p.e.r.i.s,'Q/V\.Q/V\.'R/V\Q,,lat,36,NOUN,---,---,superus,wiktionary,---,"Spons, l. 36",,</l>,
201,40,1,Do[=Dolentas],dolentas,_,dOlENtAS,d.o.l.e.n.t.a.s,d/O\.'l/E\N.t/A\S,d-.o[.-l-.è].-n.t-.a[.-s-,pro,37,ADJ,ADJqua,pfn,dolén,DOM,dolent,"Spons, l. 37",,<supplied reason=&quot;missing&quot;>chaitivas trop i avem dormit</supplied></l></lg>,<l n=&quot;37&quot;>
202,41,1,Partimini,partimini,_,QVRQVNVNV,p.a.r.t.i.m.i.n.i,Q/V\R.'Q/V\.N/V\.'N/V\,,lat,38,VERB,---,---,partio,wiktionary,---,"Spons, l. 38",,,<lg type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaab&quot;><l xml:lang=&quot;lat&quot; n=&quot;38&quot;>
203,41,2,lu–|men,lumen,–,LVNVN,l.u.m.e.n,'L/V\.N/V\N,,lat,38,NOUN,---,---,lumen,wiktionary,---,"Spons, l. 38",,,
204,41,3,lampadibus,lampadibus,–,LVNQVQVQVQ,l.a.m.p.a.d.i.b.u.s,L/V\N.'Q/V\.Q/V\.'Q/V\Q,,lat,38,NOUN,---,---,lampas,wiktionary,---,"Spons, l. 38",,</l>,<lb/>
205,42,1,pie,pie,_,QVV,p.i.e,'Q/V\./V\,,lat,39,ADV,---,---,pie,wiktionary,---,"Spons, l. 39",,,<l xml:lang=&quot;lat&quot; n=&quot;39&quot;>
206,42,2,sitis,sitis,–,QVQVQ,s.i.t.i.s,'Q/V\.Q/V\Q,,lat,39,VERB,---,---,sum,wiktionary,---,"Spons, l. 39",,,
207,42,3,insipientibus,insipientibus,–,VNQVQVVNQVQVQ,i.n.s.i.p.i.e.n.t.i.b.u.s,/V\N.Q/V\.Q/V\.'/V\N.Q/V\.'Q/V\Q,,lat,39,NOUN,---,---,insipiens,wiktionary,---,"Spons, l. 39",,</l>,
208,43,1,pulse,pulse,_,QVLQV,p.u.l.s.e,'Q/V\L.Q/V\,,lat,40,ADJ,---,---,pulsus,wiktionary,---,"Spons, l. 40",,,<l xml:lang=&quot;lat&quot; n=&quot;40&quot;>
209,43,2,ne,ne,+,NV,n.e,N/V\,,lat,40,ADV,---,---,ne,wiktionary,---,"Spons, l. 40",,,
210,43,3,nos,nos,–,NVQ,n.o.s,N/V\Q,,lat,40,PRON,---,---,nos,wiktionary,---,"Spons, l. 40",,,
211,43,4,simus,simus,–,QVNVQ,s.i.m.u.s,'Q/V\.N/V\Q,,lat,40,VERB,---,---,sum,wiktionary,---,"Spons, l. 40",,,
212,43,5,a,a,+,V,a,/V\,,lat,40,ADP,---,---,ab,wiktionary,---,"Spons, l. 40",,,
213,43,6,fo–|ribus,foribus,–,QVRVQVQ,f.o.r.i.b.u.s,'Q/V\.R/V\.'Q/V\Q,,lat,40,NOUN,---,---,foris,wiktionary,---,"Spons, l. 40",,</l>,
214,44,1,cum,cum,_,QVN,c.u.m,Q/V\N,,lat,41,SCONJ,---,---,cum,wiktionary,---,"Spons, l. 41",,,<lb/><l xml:lang=&quot;lat&quot; n=&quot;41&quot;>
215,44,2,uos,vos,–,QVQ,v.o.s,Q/V\Q,,lat,41,PRON,---,---,vos,wiktionary,---,"Spons, l. 41",,,
216,44,3,sponsus,sponsus,–,QQVNQVQ,s.p.o.n.s.u.s,'QQ/V\N.Q/V\Q,,lat,41,NOUN,---,---,sponsus,wiktionary,---,"Spons, l. 41",,,
217,44,4,uoc[et],vocet,–,QVQVQ,v.o.c.e.t,'Q/V\.Q/V\Q,,lat,41,VERB,---,---,voco,wiktionary,---,"Spons, l. 41",,,
218,44,5,in,in,+,VN,i.n,/V\N,,lat,41,ADP,---,---,in,wiktionary,---,"Spons, l. 41",,,
219,44,6,sedibus,sedibus,–,QVQVQVQ,s.e.d.i.b.u.s,'Q/V\.Q/V\.'Q/V\Q,,lat,41,NOUN,---,---,sedes,wiktionary,---,"Spons, l. 41",,</l>,
220,45,1,Dole[=Dolentas],dolentas,–,dOlENtAS,d.o.l.e.n.t.a.s,d/O\.'l/E\N.t/A\S,d-.o[.-l-.è].-n.t-.a[.-s-,pro,42,ADJ,ADJqua,pfn,dolén,DOM,dolent,"Spons, l. 42",,<supplied reason=&quot;missing&quot;>chaitivas trop i avem dormit</supplied></l></lg></sp>,<l n=&quot;42&quot;>
221,46,1,PRVde[n]tes,prudentes,|,,,,,lat,---,NOUN,---,---,prudens,wiktionary,---,"Spons, f. 54v, rubric",,</speaker>,<sp><speaker>
222,47,1,Nos,nos,_,NVQ,n.o.s,N/V\Q,,lat,43,PRON,---,---,nos,wiktionary,---,"Spons, l. 43",,,<lb/><lg type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaab&quot;><l xml:lang=&quot;lat&quot; n=&quot;43&quot;>
223,47,2,precari,precari,–,QRVQVRV,p.r.e.c.a.r.i,QR/V\.'Q/V\.R/V\,,lat,43,VERB,---,---,precor,wiktionary,---,"Spons, l. 43",,,
224,47,3,precamur,precamur,–,QRVQVNVR,p.r.e.c.a.m.u.r,QR/V\.'Q/V\.N/V\R,,lat,43,VERB,---,---,precor,wiktionary,---,"Spons, l. 43",,,
225,47,4,ampli_us,amplius,_,VNQLVVQ,a.m.p.l.i.u.s,'/V\NQ.L/V\.'/V\Q,,lat,43,ADV,---,---,ample,wiktionary,---,"Spons, l. 43",,</l>,
226,48,1,desinite,desinite,–,QVQVNVQV,d.e.s.i.n.i.t.e,Q/V\.'Q/V\.N/V\.'Q/V\,,lat,44,VERB,---,---,desino,wiktionary,---,"Spons, l. 44",,,<l xml:lang=&quot;lat&quot; n=&quot;44&quot;>
227,48,2,sorores,sorores,–,QVRVRVQ,s.o.r.o.r.e.s,Q/V\.'R/V\.R/V\Q,,lat,44,NOUN,---,---,soror,wiktionary,---,"Spons, l. 44",,,
228,48,3,otius,otius,–|,VQVVQ,o.t.i.u.s,'/V\.Q/V\.'/V\Q,,lat,44,NOUN,---,---,otium,wiktionary,---,"Spons, l. 44",,</l>,
229,49,1,uobis,vobis,–,QVQVQ,v.o.b.i.s,'Q/V\.Q/V\Q,,lat,45,PRON,---,---,vos,wiktionary,---,"Spons, l. 45",,,<lb/><l xml:lang=&quot;lat&quot; n=&quot;45&quot;>
230,49,2,enim,enim,–,VNVN,e.n.i.m,'/V\.N/V\N,,lat,45,ADV,---,---,enim,wiktionary,---,"Spons, l. 45",,,
231,49,3,nil,nil,_,NVL,n.i.l,N/V\L,,lat,45,PRON,---,---,nihil,wiktionary,---,"Spons, l. 45",,,
232,49,4,erit,erit,–,VRVQ,e.r.i.t,'/V\.R/V\Q,,lat,45,VERB,---,---,sum,wiktionary,---,"Spons, l. 45",,,
233,49,5,melius,melius,–,NVLVVQ,m.e.l.i.u.s,'N/V\.L/V\.'/V\Q,,lat,45,ADJ,---,---,bonus,wiktionary,---,"Spons, l. 45",,</l>,
234,50,1,dare,dare,–,QVRV,d.a.r.e,'Q/V\.R/V\,,lat,46,VERB,---,---,do,wiktionary,---,"Spons, l. 46",,,<l xml:lang=&quot;lat&quot; n=&quot;46&quot;>
235,50,2,preces,preces,_,QRVQVQ,p.r.e.c.e.s,'QR/V\.Q/V\Q,,lat,46,NOUN,---,---,prex,wiktionary,---,"Spons, l. 46",,,
236,50,3,p[ro],pro,_,QRV,p.r.o,QR/V\,,lat,46,ADV,---,---,pro,wiktionary,---,"Spons, l. 46",,,
237,50,4,hoc,hoc,–,QVQ,h.o.c,Q/V\Q,,lat,46,PRON,---,---,hic,wiktionary,---,"Spons, l. 46",,,
238,50,5,ulterius,ulterius,_,VLQVRVVQ,u.l.t.e.r.i.u.s,/V\L.'Q/V\.R/V\.'/V\Q,,lat,46,ADJ,---,---,ulter,wiktionary,---,"Spons, l. 46",,</l>,
239,51,1,Dolentas,dolentas,–|,dOlENtAS,d.o.l.e.n.t.a.s,d/O\.'l/E\N.t/A\S,d-.o[.-l-.è].-n.t-.a[.-s-,pro,47,ADJ,ADJqua,pfn,dolén,DOM,dolent,"Spons, l. 47",,<supplied reason=&quot;missing&quot;>chaitivas trop i avem dormit</supplied></l></lg>,<l n=&quot;47&quot;>
240,52,1,Ac,ac,_,VQ,a.c,/V\Q,,lat,48,CCONJ,---,---,ac,wiktionary,---,"Spons, l. 48",,,<lb/><lg type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaab&quot;><l xml:lang=&quot;lat&quot; n=&quot;48&quot;>
241,52,2,ite,ite,_,VQV,i.t.e,'/V\.Q/V\,,lat,48,VERB,---,---,eo,wiktionary,---,"Spons, l. 48",,,
242,52,3,nunc,nunc,–,NVNQ,n.u.n.c,N/V\NQ,,lat,48,ADV,---,---,nunc,wiktionary,---,"Spons, l. 48",,,
243,52,4,ite,ite,–,VQV,i.t.e,'/V\.Q/V\,,lat,48,VERB,---,---,eo,wiktionary,---,"Spons, l. 48",,,
244,52,5,celeriter,celeriter,–,QVLVRVQVR,c.e.l.e.r.i.t.e.r,Q/V\.'L/V\.R/V\.'Q/V\R,,lat,48,ADV,---,---,celeriter,wiktionary,---,"Spons, l. 48",,</l>,
245,53,1,ac,ac,_,VQ,a.c,/V\Q,,lat,49,CCONJ,---,---,ac,wiktionary,---,"Spons, l. 49",,,<l xml:lang=&quot;lat&quot; n=&quot;49&quot;>
246,53,2,uendentes,vendentes,–,QVNQVNQVQ,v.e.n.d.e.n.t.e.s,Q/V\N.'Q/V\N.Q/V\Q,,lat,49,NOUN,---,---,vendens,wiktionary,---,"Spons, l. 49",,,
247,53,3,rogate,rogate,–,RVQVQV,r.o.g.a.t.e,R/V\.'Q/V\.Q/V\,,lat,49,VERB,---,---,rogo,wiktionary,---,"Spons, l. 49",,,
248,53,4,dulciter,dulciter,–|,QVLQVQVR,d.u.l.c.i.t.e.r,'Q/V\L.Q/V\.'Q/V\R,,lat,49,ADV,---,---,dulciter,wiktionary,---,"Spons, l. 49",,</l>,<lb/>
249,54,1,ut,ut,_,VQ,u.t,/V\Q,,lat,50,SCONJ,---,---,ut,wiktionary,---,"Spons, l. 50",,,<l xml:lang=&quot;lat&quot; n=&quot;50&quot;>
250,54,2,oleum,oleum,–,VLVVN,o.l.e.u.m,'/V\.L/V\.'/V\N,,lat,50,NOUN,---,---,oleum,wiktionary,---,"Spons, l. 50",,,
251,54,3,uestris,vestris,–,QVQQRVQ,v.e.s.t.r.i.s,'Q/V\Q.QR/V\Q,,lat,50,ADJ,---,---,vester,wiktionary,---,"Spons, l. 50",,,
252,54,4,lampadibus,lampadibus,–,LVNQVQVQVQ,l.a.m.p.a.d.i.b.u.s,L/V\N.'Q/V\.Q/V\.'Q/V\Q,,lat,50,NOUN,---,---,lampas,wiktionary,---,"Spons, l. 50",,</l>,
253,55,1,dent,dent,_,QVNQ,d.e.n.t,Q/V\NQ,,lat,51,VERB,---,---,do,wiktionary,---,"Spons, l. 51",,,<l xml:lang=&quot;lat&quot; n=&quot;51&quot;>
254,55,2,eq[u]idem,equidem,–,VQRVQVN,e.q.u.i.d.e.m,/V\.'QR/V\.Q/V\N,,lat,51,ADV,---,---,equidem,wiktionary,---,"Spons, l. 51",,,
255,55,3,uobis,vobis,–,QVQVQ,v.o.b.i.s,'Q/V\.Q/V\Q,,lat,51,PRON,---,---,vos,wiktionary,---,"Spons, l. 51",,,
256,55,4,inertib[us],inertibus,_,VNVRQVQVQ,i.n.e.r.t.i.b.u.s,/V\.'N/V\R.Q/V\.'Q/V\Q,,lat,51,ADJ,---,---,iners,wiktionary,---,"Spons, l. 51",,</l>,
257,56,1,Do[=Dolentas],dolentas,–|,dOlENtAS,d.o.l.e.n.t.a.s,d/O\.'l/E\N.t/A\S,d-.o[.-l-.è].-n.t-.a[.-s-,pro,52,ADJ,ADJqua,pfn,dolén,DOM,dolent,"Spons, l. 52",,<supplied reason=&quot;missing&quot;>chaitivas trop i avem dormit</supplied></l></lg></sp>,<l n=&quot;52&quot;>
258,57,1,A,a,_,V,a,/V\,,lat,53,INTJ,---,---,a,wiktionary,---,"Spons, l. 53",,,<lb/><sp><speaker><supplied reason=&quot;missing&quot;>fatue</supplied></speaker><lg type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaab&quot;><l xml:lang=&quot;lat&quot; n=&quot;53&quot;>
259,57,2,misere,misere,–,NVQVRV,m.i.s.e.r.e,'N/V\.Q/V\.'R/V\,,lat,53,ADV,---,---,misere,wiktionary,---,"Spons, l. 53",,,
260,57,3,nos,nos,–,NVQ,n.o.s,N/V\Q,,lat,53,PRON,---,---,nos,wiktionary,---,"Spons, l. 53",,,
261,57,4,hic,hic,–,QVQ,h.i.c,Q/V\Q,,lat,53,ADV,---,---,hic,wiktionary,---,"Spons, l. 53",,,
262,57,5,quid,quid,–,QRVQ,q.u.i.d,QR/V\Q,,lat,53,PRON,---,---,quis,wiktionary,---,"Spons, l. 53",,,
263,57,6,facimus,facimus,–,QVQVNVQ,f.a.c.i.m.u.s,'Q/V\.Q/V\.'N/V\Q,,lat,53,VERB,---,---,facio,wiktionary,---,"Spons, l. 53",,</l>,
264,58,1,uigilare,vigilare,–,QVQVLVRV,v.i.g.i.l.a.r.e,Q/V\.Q/V\.'L/V\.R/V\,,lat,54,VERB,---,---,vigilo,wiktionary,---,"Spons, l. 54",,,<l xml:lang=&quot;lat&quot; n=&quot;54&quot;>
265,58,2,numquid,numquid,–,NVNQRVQ,n.u.m.q.u.i.d,'N/V\N.QR/V\Q,,lat,54,ADV,---,---,numquid,wiktionary,---,"Spons, l. 54",,,
266,58,3,po–|tuimus,potuimus,–,QVQVVNVQ,p.o.t.u.i.m.u.s,Q/V\.'Q/V\./V\.'N/V\Q,,lat,54,VERB,---,---,possum,wiktionary,---,"Spons, l. 54",,</l>,
267,59,1,hunc,hunc,_,QVNQ,h.u.n.c,Q/V\NQ,,lat,55,ADJ,---,---,hic,wiktionary,---,"Spons, l. 55",,,<pb n=&quot;55r&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f117.item&quot;/><lb/><l xml:lang=&quot;lat&quot; n=&quot;55&quot;>
268,59,2,laborem,laborem,–,LVQVRVN,l.a.b.o.r.e.m,L/V\.'Q/V\.R/V\N,,lat,55,NOUN,---,---,labor,wiktionary,---,"Spons, l. 55",,,
269,59,3,que,que,–,QRV,q.u.e,QR/V\,,lat,55,PRON,---,---,qui,wiktionary,---,"Spons, l. 55",,,
270,59,4,nunc,nunc,–,NVNQ,n.u.n.c,N/V\NQ,,lat,55,ADV,---,---,nunc,wiktionary,---,"Spons, l. 55",,,
271,59,5,p[er]ferimus,perferimus,–,QVRQVRVNVQ,p.e.r.f.e.r.i.m.u.s,Q/V\R.'Q/V\.R/V\.'N/V\Q,,lat,55,VERB,---,---,perfero,wiktionary,---,"Spons, l. 55",,</l>,
272,60,1,nobis,nobis,–,NVQVQ,n.o.b.i.s,'N/V\.Q/V\Q,,lat,56,PRON,---,---,nos,wiktionary,---,"Spons, l. 56",,,<l xml:lang=&quot;lat&quot; n=&quot;56&quot;>
273,60,2,nos–med,nosmed,_,NVQNVQ,n.o.s.m.e.d,'N/V\Q.N/V\Q,,lat,56,PRON,---,---,nosmet,wiktionary,---,"Spons, l. 56",,,
274,60,3,con–|tulimus,contulimus,_,QVNQVLVNVQ,c.o.n.t.u.l.i.m.u.s,Q/V\N.'Q/V\.L/V\.'N/V\Q,,lat,56,VERB,---,---,confero,wiktionary,---,"Spons, l. 56",,</l>,
275,61,1,Dol[=Dolentas],dolentas,_,dOlENtAS,d.o.l.e.n.t.a.s,d/O\.'l/E\N.t/A\S,d-.o[.-l-.è].-n.t-.a[.-s-,pro,57,ADJ,ADJqua,pfn,dolén,DOM,dolent,"Spons, l. 57",,<supplied reason=&quot;missing&quot;>chaitivas trop i avem dormit</supplied></l></lg>,<lb/><l n=&quot;57&quot;>
276,62,1,Et,et,_,VQ,e.t,/V\Q,,lat,58,,---,---,---,---,---,"Spons, l. 58",,,<lg type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaab&quot;><l xml:lang=&quot;lat&quot; n=&quot;58&quot;>
277,62,2,de,de,–,QV,d.e,Q/V\,,lat,58,,---,---,---,---,---,"Spons, l. 58",,,
