wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_right,tei_left
99,14,3,minna,minna,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,
100,14,4,ind,ind,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,
101,14,5,in,in,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,
102,14,6,thes,thes,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,
103,14,7,chr[ist]anes,christanes,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,
104,14,8,folches,folches,,,,|,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,
105,15,1,ind,ind,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 17",,<lb n=&quot;17&quot;/>
106,15,2,unser,unser,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 17",,
107,15,3,bedhero,bedhero,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 17",,
108,15,4,gealtnissi,gealtnissi,,,,:,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 17",,
109,15,5,fon,fon,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 17",,
110,15,6,these|mo,thesemo,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 17",,
111,16,1,da_ge,dage,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 18",,<lb n=&quot;18&quot;/>
112,16,2,frammordes,frammordes,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 18",,
113,16,3,so,so,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 18",,
114,16,4,fram,fram,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 18",,
115,16,5,so,so,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 18",,
116,16,6,mir,mir,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 18",,
117,16,7,got,got,,,,|,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 18",,
118,17,1,geuuizci,geuuizci,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 19",,<lb n=&quot;19&quot;/>
119,17,2,indi,indi,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 19",,
120,17,3,madh[=mahd],mahd,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 19",,
121,17,4,furgibit,furgibit,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 19",,
122,17,5,so,so,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 19",,
123,17,6,haldih,haldih,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 19",,
124,17,7,te|san,tesan,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 19",,
125,18,1,minan,minan,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 20",,<lb n=&quot;20&quot;/>
126,18,2,bruodher,bruodher,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 20",,
127,18,3,soso,soso,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 20",,
128,18,4,man,man,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 20",,
129,18,5,mit,mit,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 20",,
130,18,6,rehtu,rehtu,,,,|,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 20",,
131,19,1,sinan,sinan,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,<lb n=&quot;21&quot;/>
132,19,2,bruher,bruher,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
133,19,3,scal,scal,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
134,19,4,in,in,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
