wd_id,line_id,linewd,dipl,word,phon,phon_map,syllabified,wd_div,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_left,tei_right
24,5,4,eskoltet,eskoltet,ESkoLtəð,e.s.k.o.l.t.e.t,/E\S.'k/o\L.t/ə\ð,_,écouter,DMF,écouter,VERcjg,VERcjg,indpst3,"Eulalie, l. 5",,
25,5,5,les,les,LES,l.e.s,L/E\S,_,le,DMF,le,DETdef,DETdef,pmr,"Eulalie, l. 5",,
26,5,6,mals,mals,maLS,m.a.l.s,m/a\LS,_,mal,DMF,mal,ADJqua,ADJqua,pmr,"Eulalie, l. 5",,
27,5,7,conselliers,conselliers,kONSEʎierS,c.o.n.s.e.ll.i.e.r.s,k/O\N.S/E\.'ʎ/ie\rS,.,conseiller,DMF,conseiller,NOMcom,NOMcom,pmr,"Eulalie, l. 5",,</l>
28,6,1,Qu,qu,k,qu,k/\,+,que,DMF,que,CONsub,CONsub,,"Eulalie, l. 6",<l n=&quot;6&quot;>,
29,6,2,elle,elle,elə,e.ll.e,'/e\.l/(ə)\,_,elle,DMF,elle,PRNper,PRNper,3sfn,"Eulalie, l. 6",,
30,6,3,d[e]o,deo,dæu,d.e.o,d/æ\u,_,Dieu,DMF,Dieu,NOMpro,NOMpro,smr,"Eulalie, l. 6",,
31,6,4,raneiet,raneiet,rAnEiəð,r.a.n.e.i.e.t,r/A\.'n/E\i./ə\ð,_,renier,DMF,renier,VERcjg,VERcjg,indpst3,"Eulalie, l. 6",,
32,6,5,chi,chi,ki,ch.i,k/i\,_,qui,DMF,qui,PRNrel,PRNrel,smn,"Eulalie, l. 6",,
33,6,6,maent,maent,mAiNT,m.a.e.n.t,m/A\iNT,..,manoir,DMF,manoir,VERcjg,VERcjg,indpst3,"Eulalie, l. 6",,
34,6,7,sus,sus,SyS,s.u.s,S/y\S,_,sus,DMF,sus,ADVgen,ADVgen,,"Eulalie, l. 6",,
35,6,8,en,en,En,e.n,/E\n,_,en,DMF,en,PRE,PRE,,"Eulalie, l. 6",,
36,6,9,ciel,ciel,Çiel,c.i.e.l,Ç/ie\l,|,ciel,DMF,ciel,NOMcom,NOMcom,smr,"Eulalie, l. 6",,</l></lg>
37,7,1,N_e,ne,nE,n.e,n/E\,_,ne2,DMF,ne2,CONcoo,CONcoo,,"Eulalie, l. 7",<lb/><lg type=&quot;couplet&quot;><l n=&quot;7&quot;>,
38,7,2,por,por,por,p.o.r,p/o\r,_,pour,DMF,pour,PRE,PRE,,"Eulalie, l. 7",,
39,7,3,or,or,ɔr,o.r,/ɔ\r,_,or,DMF,or,NOMcom,NOMcom,smr,"Eulalie, l. 7",,
40,7,4,ned,ned,nEð,n.e.d,n/E\ð,_,ne2,DMF,ne2,CONcoo,CONcoo,,"Eulalie, l. 7",,
41,7,5,argent,argent,ArʤENT,a.r.g.e.n.t,/A\r.'ʤ/E\NT,_,argent,DMF,argent,NOMcom,NOMcom,smr,"Eulalie, l. 7",,
42,7,6,ne,ne,nE,n.e,n/E\,_,ne2,DMF,ne2,CONcoo,CONcoo,,"Eulalie, l. 7",,
43,7,7,paramenz,paramenz,pArAmENTS,p.a.r.a.m.e.n.z.,p/A\.r/A\.'m/E\NTS,.,parement,DMF,parement,NOMcom,NOMcom,pmr,"Eulalie, l. 7",,</l>
44,8,1,Por,por,por,p.o.r,p/o\r,_,pour,DMF,pour,PRE,PRE,,"Eulalie, l. 8",<l n=&quot;8&quot;>,
45,8,2,manatce,manatce,mAnaʦə,m.a.n.a.tc.e,m/A\.'n/a\.ʦ/(ə)\,_,menace,DMF,menace,NOMcom,NOMcom,sfr,"Eulalie, l. 8",,
46,8,3,regiel,regiel,rEɣiel,r.e.g.i.e.l,r/E\.'ɣ/ie\l,_,royal,DMF,royal,ADJqua,ADJqua,sfr,"Eulalie, l. 8",,
47,8,4,ne,ne,nE,n.e,n/E\,+,ne2,DMF,ne2,CONcoo,CONcoo,,"Eulalie, l. 8",,
48,8,5,preiement,preiement,prEiEmENT,p.r.e.i.e.m.e.n.t,pr/E\i./E\.'m/E\NT,|,priement,DMF,priement,NOMcom,NOMcom,smr,"Eulalie, l. 8",,</l></lg>
49,9,1,N_iule,niule,niylə,n.i.u.l.e,n/i\.'/y\.l/(ə)\,_,nul,DMF,nul,DETind,DETind,sfn,"Eulalie, l. 9",<lb/><lg type=&quot;couplet&quot;><l n=&quot;9&quot;>,
50,9,2,cose,cose,kɔzə,c.o.s.e,'k/ɔ\.z/(ə)\,_,chose,DMF,chose,NOMcom,NOMcom,sfn,"Eulalie, l. 9",,
51,9,3,non,non,nOn,n.o.n,n/O\n,_,ne,DMF,ne,ADVneg,ADVneg,,"Eulalie, l. 9",,
52,9,4,la,la,La,l.a,L/a\,+,le,DMF,le,PRCper,PRCper,3sfa,"Eulalie, l. 9",,
53,9,5,pouret,pouret,pɔurəð,p.o.u.r.e.t,'p/ɔ\u.r/ə\ð,_,pouvoir,DMF,pouvoir,VERcjg,VERcjg,indpqp3,"Eulalie, l. 9",,
54,9,6,omq[ue],omque,ONkə,o.m.qu.e,'/O\N.k/(ə)\,_,onques,DMF,onques,ADVgen,ADVgen,,"Eulalie, l. 9",,
55,9,7,pleier,pleier,pleier,p.l.e.i.e.r,pl/e\.'/ie\r,.,plier,DMF,plier,VERinf,VERinf,,"Eulalie, l. 9",,</l>
56,10,1,La,la,La,l.a,L/a\,_,le,DMF,le,DETdef,DETdef,sfn,"Eulalie, l. 10",<l n=&quot;10&quot;>,
57,10,2,polle,polle,polə,p.o.ll.e,'p/o\.l/(ə)\,_,poule2,DMF,poule2,NOMcom,NOMcom,sfn,"Eulalie, l. 10",,
58,10,3,sempre,sempre,SENprə,s.e.m.p.r.e,'S/E\N.pr/(ə)\,_,sempres,DMF,sempres,ADVgen,ADVgen,,"Eulalie, l. 10",,
59,10,4,no[n],non,nOn,n.o.n,n/O\n,_,ne,DMF,ne,ADVneg,ADVneg,,"Eulalie, l. 10",,
60,10,5,amast,amast,AmaST,a.m.a.s.t,/A\.'m/a\ST,_,aimer,DMF,aimer,VERcjg,VERcjg,subipf3,"Eulalie, l. 10",,
61,10,6,lo,lo,Lo,l.o,L/o\,_,le,DMF,le,DETdef,DETdef,smr,"Eulalie, l. 10",,
62,10,7,d[e]o,deo,dæu,d.e.o,d/æ\u,_,Dieu,DMF,Dieu,NOMpro,NOMpro,smr,"Eulalie, l. 10",,
63,10,8,menestier,menestier,mEnEStier,m.e.n.e.s.t.i.e.r,m/E\.n/E\S.'t/ie\r,|,métier,DMF,métier,NOMcom,NOMcom,smr,"Eulalie, l. 10",,</l></lg>
64,11,1,E,e,E,e,/E\,_,et,DMF,et,CONcoo,CONcoo,,"Eulalie, l. 11",<lb/><lg type=&quot;couplet&quot;><l n=&quot;11&quot;>,
65,11,2,por,por,por,p.o.r,p/o\r,+,pour,DMF,pour,PRE,PRE,,"Eulalie, l. 11",,
66,11,3,o,o,ɔ,o,/ɔ\,_,o4,DMF,o4,PRNdem,PRNdem,snr,"Eulalie, l. 11",,
67,11,4,fu,fu,fy,f.u,f/y\,_,être,DMF,être,VERcjg,VERcjg,indpsp3,"Eulalie, l. 11",,
68,11,5,p[re]sentede,presentede,prEzENtæðə,p.r.e.s.e.n.t.e.d.e,pr/E\.z/E\N.'t/æ\.ð/(ə)\,_,présenter,DMF,présenter,VERppe,VERppe,sfn,"Eulalie, l. 11",,
69,11,6,Maximiien,maximiien,mAiSimiiEn,m.a.x..i.m.i.i.e.n,m/A\i.S/i\.m/i\.'/iE\n,.,Maximien,---,,NOMpro,NOMpro,smr,"Eulalie, l. 11",,</l>
70,12,1,Chi,chi,ki,ch.i,k/i\,_,qui,DMF,qui,PRNrel,PRNrel,smn,"Eulalie, l. 12",<l n=&quot;12&quot;>,
71,12,2,rex,rex,rEiS,r.e.x.,r/E\iS,_,roi,DMF,roi,NOMcom,NOMcom,smn,"Eulalie, l. 12",,
72,12,3,eret,eret,ærəð,e.r.e.t,'/æ\.r/ə\ð,_,être,DMF,être,VERcjg,VERcjg,indipf3,"Eulalie, l. 12",,
73,12,4,a,a,a,a,/a\,+,à,DMF,à,PRE,PRE,,"Eulalie, l. 12",,
74,12,5,cels,cels,ÇeLS,c.e.l.s,Ç/e\LS,_,cil,DMF,cil,DETdem,DETdem,pmr,"Eulalie, l. 12",,
75,12,6,dis,dis,diS,d.i.s,d/i\S,_,di,DMF,di,NOMcom,NOMcom,pmr,"Eulalie, l. 12",,
76,12,7,soure,soure,Sourə,s.o.u.r.e,'S/o\u.r/(ə)\,_,sur,DMF,sur,PRE,PRE,,"Eulalie, l. 12",,
77,12,8,pagiens,pagiens,pAɣiENS,p.a.g.i.e.n.s,p/A\.'ɣ/iE\NS,|,paien,DMF,paien,ADJqua,NOMcom,pmr,"Eulalie, l. 12",,</l></lg>
78,13,1,I_l,il,il,i.l,/i\l,+,il,DMF,il,PRNper,PRNper,3smn,"Eulalie, l. 13",<lb/><lg type=&quot;couplet&quot;><l n=&quot;13&quot;>,
79,13,2,li,li,Li,l.i,L/i\,_,li,DMF,li,PRCper,PRCper,3smi,"Eulalie, l. 13",,
80,13,3,en_ortet,enortet,Enɔrtəð,e.n.o.r.t.e.t,/E\.'n/ɔ\r.t/ə\ð,_,enhorter,DMF,enhorter,VERcjg,VERcjg,indpst3,"Eulalie, l. 13",,
81,13,4,dont,dont,dONT,d.o.n.t,d/O\NT,_,dont,DMF,dont,PRNrel,PRNrel,---,"Eulalie, l. 13",,
82,13,5,lei,lei,LEi,l.e.i,L/E\i,_,li,DMF,li,PRNper,PRNper,3sfr,"Eulalie, l. 13",,
83,13,6,nonq[ue],nonque,nONkə,n.o.n.qu.e,'n/O\N.k/(ə)\,_,nonques,DMF,nonques,ADVgen,ADVgen,,"Eulalie, l. 13",,
84,13,7,chielt,chielt,kieLT,ch.i.e.l.t,k/ie\LT,_,chaloir,DMF,chaloir,VERcjg,VERcjg,indpst0,"Eulalie, l. 13",,</l>
85,14,1,Qued,qued,kEð,qu.e.d,k/E\ð,_,que,DMF,que,CONsub,CONsub,,"Eulalie, l. 14",<l n=&quot;14&quot;>,
86,14,2,elle,elle,elə,e.ll.e,'/e\.l/(ə)\,_,elle,DMF,elle,PRNper,PRNper,3sfn,"Eulalie, l. 14",,
87,14,3,fuiet,fuiet,fyiəð,f.u.i.e.t,'f/y\i./ə\ð,_,fuir,DMF,fuir,VERcjg,VERcjg,subpst3,"Eulalie, l. 14",,
88,14,4,lo,lo,Lo,l.o,L/o\,_,le,DMF,le,DETdef,DETdef,smr,"Eulalie, l. 14",,
89,14,5,nom,nom,nOm,n.o.m,n/O\m,_,nom,DMF,nom,NOMcom,NOMcom,smr,"Eulalie, l. 14",,
90,14,6,[christ]iien,christiien,kriStiiEn,ch.r.i.s.t.i.i.e.n,kr/i\S.t/i\.'/iE\n,.|,chrétien,DMF,chrétien,ADJqua,ADJqua,smr,"Eulalie, l. 14",,</l></lg>
91,15,1,E_ll,ell,el,e.ll,/e\l,+,elle,DMF,elle,PRNper,PRNper,3sfn,"Eulalie, l. 15",<lb/><lg type=&quot;couplet&quot;><l n=&quot;15&quot;>,
92,15,2,ent,ent,ENT,e.n.t,/E\NT,_,en2,DMF,en2,PRCadv,PRCadv,,"Eulalie, l. 15",,
93,15,3,adunet,adunet,Aðynəð,a.d.u.n.e.t,/A\.'ð/y\.n/ə\ð,_,aduner,DMF,aduner,VERcjg,VERcjg,indpst3,"Eulalie, l. 15",,
94,15,4,lo,lo,Lo,l.o,L/o\,_,le,DMF,le,DETdef,DETdef,smr,"Eulalie, l. 15",,
95,15,5,suon,suon,Suɔn,s.u.o.n,S/uɔ\n,_,sien,DMF,sien,ADJpos,ADJpos,3smr,"Eulalie, l. 15",,
96,15,6,element,element,ElEmENT,e.l.e.m.e.n.t,/E\.l/E\.'m/E\NT,.,élement,DMF,élement,NOMcom,NOMcom,smr,"Eulalie, l. 15",,</l>
97,16,1,Melz,melz,meLÇ,m.e.l.z,m/e\LÇ,_,mieulx,DMF,mieulx,ADVgen,ADVgen,,"Eulalie, l. 16",<l n=&quot;16&quot;>,
98,16,2,sostendreiet,sostendreiet,SoStENdrEiəð,s.o.s.t.e.n.d.r.e.i.e.t,S/o\S.t/E\N.'dr/E\i./ə\ð,_,soutenir,DMF,soutenir,VERcjg,VERcjg,con---3,"Eulalie, l. 16",,
99,16,3,les,les,LES,l.e.s,L/E\S,_,le,DMF,le,DETdef,DETdef,pmr,"Eulalie, l. 16",,
100,16,4,empedementz,empedementz,ENpEdEmENTS,e.m.p.e.d.e.m.e.n.t.z,/E\N.p/E\.d/E\.'m/E\NTS,|,impédiment,DMF,impédiment,NOMcom,NOMcom,pmr,"Eulalie, l. 16",,</l></lg>
101,17,1,Q_u,qu,k,qu,k/\,+,que,DMF,que,CONsub,CONsub,,"Eulalie, l. 17",<lb/><lg type=&quot;couplet&quot;><l n=&quot;17&quot;>,
102,17,2,elle,elle,elə,e.ll.e,'/e\.l/(ə)\,_,elle,DMF,elle,PRNper,PRNper,3sfn,"Eulalie, l. 17",,
103,17,3,p[er]desse,perdesse,pErdesə,p.e.r.d.e.ss.e,p/E\r.'d/e\.s/(ə)\,_,perdre,DMF,perdre,VERcjg,VERcjg,subipf3,"Eulalie, l. 17",,
104,17,4,sa,sa,SA,s.a,S/A\,_,son4,DMF,son4,DETpos,DETpos,3sfr,"Eulalie, l. 17",,
105,17,5,uirginitet,virginitet,virʤinitæð,v.i.r.g.i.n.i.t.e.t,v/i\r.ʤ/i\.n/i\.'t/æ\ð,_,virginité,DMF,virginité,NOMcom,NOMcom,sfr,"Eulalie, l. 17",,</l>
106,18,1,Por,por,por,p.o.r,p/o\r,+,pour,DMF,pour,PRE,PRE,,"Eulalie, l. 18",<l n=&quot;18&quot;>,
107,18,2,o,o,ɔ,o,/ɔ\,+,o4,DMF,o4,PRNdem,PRNdem,snr,"Eulalie, l. 18",,
108,18,3,s,s,S,s,/\S,_,se,DMF,se,PRCper,PRCper,3sfr,"Eulalie, l. 18",,
109,18,4,furet,furet,fyrəð,f.u.r.e.t,'f/y\.r/ə\ð,_,être,DMF,être,VERcjg,VERcjg,indpqp3,"Eulalie, l. 18",,
110,18,5,morte,morte,mɔrtə,m.o.r.t.e,'m/ɔ\r.t/(ə)\,_,mourir,DMF,mourir,VERppe,VERppe,sfn,"Eulalie, l. 18",,
111,18,6,a,a,A,a,/A\,_,à,DMF,à,PRE,PRE,,"Eulalie, l. 18",,
112,18,7,grand,grand,grANT,g.r.a.n.d,gr/A\NT,_,grand,DMF,grand,ADJqua,ADJqua,sfr,"Eulalie, l. 18",,
113,18,8,honestet,honestet,OnEStæð,ho.n.e.s.t.e.t,/O\.n/E\S.'t/æ\ð,.|,honnêté,DMF,honnêté,NOMcom,NOMcom,sfr,"Eulalie, l. 18",,</l></lg>
114,19,1,E_nz,enz,ENTS,e.n.z.,/E\NTS,_,ens,DMF,ens,ADVgen,ADVgen,,"Eulalie, l. 19",<lb/><lg type=&quot;couplet&quot;><l n=&quot;19&quot;>,
115,19,2,en,en,EN,e.n,/E\N,+,en,DMF,en,PRE,PRE,,"Eulalie, l. 19",,
116,19,3,l,l,L,l,/\L,_,le,DMF,le,DETdef,DETdef,smr,"Eulalie, l. 19",,
117,19,4,fou,fou,fɔu,f.o.u,f/ɔ\u,_,feu,DMF,feu,NOMcom,NOMcom,smr,"Eulalie, l. 19",,
118,19,5,lo,lo,Lo,l.o,L/o\,_,le,DMF,le,PRCper,PRCper,3sma,"Eulalie, l. 19",,
119,19,6,getterent,getterent,ʤEtærəNT,g.e.tt.e.r.e.n.t,ʤ/E\.'t/æ\.r/ə\NT,_,jeter,DMF,jeter,VERcjg,VERcjg,indpsp6,"Eulalie, l. 19",,
120,19,7,com,com,kOm,c.o.m,k/O\m,_,comme,DMF,comme,CONsub,CONsub,,"Eulalie, l. 19",,
121,19,8,arde,arde,ardə,a.r.d.e,'/a\r.d/(ə)\,_,ardre,DMF,ardre,VERcjg,VERcjg,subpst3,"Eulalie, l. 19",,
122,19,9,tost,tost,tɔST,t.o.s.t,t/ɔ\ST,.,tôt,DMF,tôt,ADVgen,ADVgen,,"Eulalie, l. 19",,</l>
123,20,1,Elle,elle,elə,e.ll.e,'/e\.l/(ə)\,_,elle,DMF,elle,PRNper,PRNper,3sfn,"Eulalie, l. 20",<l n=&quot;20&quot;>,
124,20,2,colpes,colpes,koLpəS,c.o.l.p.e.s,'k/o\L.p/ə\S,_,coulpe,DMF,coulpe,NOMcom,NOMcom,pfr,"Eulalie, l. 20",,
125,20,3,no[n],non,nOn,n.o.n,n/O\n,_,ne,DMF,ne,ADVneg,ADVneg,,"Eulalie, l. 20",,
126,20,4,auret,auret,aurəð,a.u.r.e.t,'/a\u.r/ə\ð,_,avoir,DMF,avoir,VERcjg,VERcjg,indpqp3,"Eulalie, l. 20",,
127,20,5,por,por,por,p.o.r,p/o\r,_,pour,DMF,pour,PRE,PRE,,"Eulalie, l. 20",,
128,20,6,o,o,ɔ,o,/ɔ\,.,o4,DMF,o4,PRNdem,PRNdem,snr,"Eulalie, l. 20",,
129,20,7,no,no,no,n.o,n/o\,+,ne,DMF,ne,ADVneg,ADVneg,,"Eulalie, l. 20",,
130,20,8,s,s,S,s,/\S,_,se,DMF,se,PRCper,PRCper,3sfr,"Eulalie, l. 20",,
131,20,9,coist,coist,kɔiST,c.o.i.s.t,k/ɔ\iST,.|,cuire,DMF,cuire,VERcjg,VERcjg,indpsp3,"Eulalie, l. 20",,</l></lg>
132,21,1,A,a,A,a,/A\,_,à,DMF,à,PRE,PRE,,"Eulalie, l. 21",<lb/><lg type=&quot;couplet&quot;><l n=&quot;21&quot;>,
133,21,2,czo,czo,Çɔ,cz.o,Ç/ɔ\,_,ce,DMF,ce,PRNdem,PRNdem,snr,"Eulalie, l. 21",,
134,21,3,no,no,no,n.o,n/o\,+,ne,DMF,ne,ADVneg,ADVneg,,"Eulalie, l. 21",,
135,21,4,s,s,S,s,/\S,_,se,DMF,se,PRCper,PRCper,3smr,"Eulalie, l. 21",,
136,21,5,uoldret,voldret,vɔLdrəð,v.o.l.d.r.e.t,'v/ɔ\L.dr/ə\ð,_,vouloir,DMF,vouloir,VERcjg,VERcjg,indpqp3,"Eulalie, l. 21",,
137,21,6,concreidre,concreidre,kONkrEiðrə,c.o.n.c.r.e.i.d.r.e,k/O\N.'kr/E\i.ðr/(ə)\,_,concroire,DMF,concroire,VERinf,VERinf,,"Eulalie, l. 21",,
138,21,7,li,li,Li,l.i,L/i\,_,li,DMF,li,DETdef,DETdef,smn,"Eulalie, l. 21",,
139,21,8,rex,rex,rEiS,r.e.x.,r/E\iS,_,roi,DMF,roi,NOMcom,NOMcom,smn,"Eulalie, l. 21",,
140,21,9,pagiens,pagiens,pAɣiENS,p.a.g.i.e.n.s,p/A\.'ɣ/iE\NS,.,paien,DMF,paien,ADJqua,ADJqua,smn,"Eulalie, l. 21",,</l>
141,22,1,Ad,ad,að,a.d,/a\ð,_,à,DMF,à,PRE,PRE,,"Eulalie, l. 22",<l n=&quot;22&quot;>,
142,22,2,une,une,ynə,u.n.e,'/y\.n/(ə)\,_,un,DMF,un,DETndf,DETndf,sfr,"Eulalie, l. 22",,
143,22,3,spede,spede,0Spæðə,.s.p.e.d.e,/[0]\S.'p/æ\.ð/(ə)\,_,épée,DMF,épée,NOMcom,NOMcom,sfr,"Eulalie, l. 22",,
144,22,4,li,li,Li,l.i,L/i\,_,li,DMF,li,PRCper,PRCper,3sfi,"Eulalie, l. 22",,
145,22,5,roueret,roveret,rOvɛrəð,r.o.v.e.r.e.t,r/O\.'v/ɛ\.r/ə\ð,.,rover,DMF,rover,VERcjg,VERcjg,indpqp3,"Eulalie, l. 22",,
146,22,6,tolir,tolir,tOlir,t.o.l.i.r,t/O\.'l/i\r,_,tolir,DMF,tolir,VERinf,VERinf,,"Eulalie, l. 22",,
147,22,7,lo,lo,Lo,l.o,L/o\,_,le,DMF,le,DETdef,DETdef,smr,"Eulalie, l. 22",,
148,22,8,chief,chief,kieF,ch.i.e.f,k/ie\F,|,chef,DMF,chef,NOMcom,NOMcom,smr,"Eulalie, l. 22",,</l></lg>
149,23,1,L_a,la,LA,l.a,L/A\,_,le,DMF,le,DETdef,DETdef,sfn,"Eulalie, l. 23",<lb/><lg type=&quot;couplet&quot;><l n=&quot;23&quot;>,
150,23,2,domnizelle,domnizelle,dOmniʦɛlə,d.o.m.n.i.z.e.ll.e,d/O\m.n/i\.'ʦ/ɛ\.l/(ə)\,_,damoiselle,DMF,damoiselle,NOMcom,NOMcom,sfn,"Eulalie, l. 23",,
151,23,3,celle,celle,Çelə,c.e.ll.e,'Ç/e\.l/(ə)\,_,cil,DMF,cil,DETdem,DETdem,sfr,"Eulalie, l. 23",,
152,23,4,kose,kose,kɔzə,k.o.s.e,'k/ɔ\.z/(ə)\,_,chose,DMF,chose,NOMcom,NOMcom,sfr,"Eulalie, l. 23",,
153,23,5,no[n],non,nOn,n.o.n,n/O\n,_,ne,DMF,ne,ADVneg,ADVneg,,"Eulalie, l. 23",,
154,23,6,contredist,contredist,kONtrEdiST,c.o.n.t.r.e.d.i.s.t,k/O\N.tr/E\.'d/i\ST,.,contredire,DMF,contredire,VERcjg,VERcjg,indpsp3,"Eulalie, l. 23",,</l>
155,24,1,Uolt,volt,vɔLT,v.o.l.t,v/ɔ\LT,_,vouloir,DMF,vouloir,VERcjg,VERcjg,indpsp3,"Eulalie, l. 24",<l n=&quot;24&quot;>,
156,24,2,lo,lo,Lo,l.o,L/o\,_,le,DMF,le,DETdef,DETdef,smr,"Eulalie, l. 24",,
157,24,3,seule,seule,Seulə,s.e.u.l.e,'S/e\u.l/(ə)\,_,siècle,DMF,siècle,NOMcom,NOMcom,smr,"Eulalie, l. 24",,
158,24,4,lazsier,lazsier,LAʦier,l.a.zs.i.e.r,L/A\.'ʦ/ie\r,_,laisser,DMF,laisser,VERinf,VERinf,,"Eulalie, l. 24",,
159,24,5,si,si,Si,s.i,S/i\,_,si4,DMF,si4,ADVgen,ADVgen,,"Eulalie, l. 24",,
160,24,6,ruouet,ruovet,ruɔvəð,r.u.o.v.e.t,'r/uɔ\.v/ə\ð,.,rover,DMF,rover,VERcjg,VERcjg,indpst3,"Eulalie, l. 24",,
161,24,7,Krist,krist,kriST,k.r.i.s.t,kr/i\ST,.|,Christ,DMF,Christ,NOMpro,NOMpro,smr,"Eulalie, l. 24",,</l></lg>
162,25,1,I_n,in,in,i.n,/i\n,_,en,DMF,en,PRE,PRE,,"Eulalie, l. 25",<lb/><lg type=&quot;couplet&quot;><l n=&quot;25&quot;>,
163,25,2,figure,figure,figyrə,f.i.g.u.r.e,f/i\.'g/y\.r/(ə)\,_,figure,DMF,figure,NOMcom,NOMcom,sfr,"Eulalie, l. 25",,
164,25,3,de,de,dE,d.e,d/E\,_,de,DMF,de,PRE,PRE,,"Eulalie, l. 25",,
165,25,4,colomb,colomb,kolONP,c.o.l.o.m.b,k/o\.'l/O\NP,_,colombe,DMF,colombe,NOMcom,NOMcom,sfr,"Eulalie, l. 25",,
166,25,5,uolat,volat,vOlað,v.o.l.a.t,v/O\.'l/a\ð,_,voler,DMF,voler,VERcjg,VERcjg,indpsp3,"Eulalie, l. 25",,
167,25,6,a,a,A,a,/A\,+,à,DMF,à,PRE,PRE,,"Eulalie, l. 25",,
