wd_id,line_id,line_wd,textlineid,ref,dipl,word,wd_div,phon,map,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
36,7,5,7,"CantQuSol, l. 7",ai,ai,_,Ai,a.i,fro,VERcjg,VERcjg,indpst1,avoir,DMF,avoir,,,
241,40,3,40,"CantQuSol, l. 40",ai,ai,_,Ai,a.i,fro,VERcjg,VERcjg,indpst1,avoir,DMF,avoir,,,
255,41,7,41,"CantQuSol, l. 41",ai,ai,+,Ai,a.i,fro,VERcjg,VERcjg,indpst1,avoir,DMF,avoir,,,
315,52,4,52,"CantQuSol, l. 52",atz,atz,+,aZ,a.tz,fro,VERcjg,VERcjg,indpst0,avoir,DMF,avoir,,,<lb/>
385,62,8,62,"CantQuSol, l. 62",aurat,aurat,|,AuraZ,a.u.r.a.t,fro,VERcjg,VERcjg,indfut3,avoir,DMF,avoir,,,
318,52,7,52,"CantQuSol, l. 52",aueid,aveid,_,AvEiT,a.v.e.i.d,fro,VERcjg,VERcjg,indipf3,avoir,DMF,avoir,,,
535,90,3,90,"CantQuSol, l. 90",aueir,aveir,;,AvEir,a.v.e.i.r,fro,VERinf,VERinf,,avoir,DMF,avoir,,</q></l></lg>,
272,44,6,44,"CantQuSol, l. 44",ont,ont,|,ONT,o.n.t,fro,VERcjg,VERcjg,indpst6,avoir,DMF,avoir,,,
280,46,3,46,"CantQuSol, l. 46",olt[=ont],ont,|,ONT,o.n.t,fro,VERcjg,VERcjg,indpst6,avoir,DMF,avoir,,,
288,47,4,47,"CantQuSol, l. 47",unt,unt,_,ONT,u.n.t,fro,VERcjg,VERcjg,indpst6,avoir,DMF,avoir,,,
471,77,5,77,"CantQuSol, l. 77",azarias,azarias,_,AʣAriaS,a.z.a.r.i.a.s,fro,NOMpro,NOMpro,smr,Azarias,wikipedia.fr,,,</q></l>,
499,83,5,83,"CantQuSol, l. 83",nazarias,nazarias,_,nAʣAriaS,n.a.z.a.r.i.a.s,fro,NOMpro,NOMpro,smr,Azarias,wikipedia.fr,,,</q></l>,<lb/>
524,88,6,88,"CantQuSol, l. 88",barunsz,barunsz,|,bArONS,b.a.r.u.n.sz,fro,NOMcom,NOMcom,pmr,baron,DMF,baron,,</q></l>,
273,44,7,44,"CantQuSol, l. 44",batuz,batuz,_,bAtyZ,b.a.t.u.z,fro,VERppe,VERppe,sfr,battre,DMF,battre,,,<lb/>
328,53,8,53,"CantQuSol, l. 53",bel,bel,_,bɛl,b.e.l,fro,ADJqua,ADJqua,smr,beau,DMF,beau,,,
298,49,1,49,"CantQuSol, l. 49",Beles,beles,|,bɛləS,b.e.l.e.s,fro,ADJqua,ADJqua,pfn,beau,DMF,beau,,,"<lb/><lg n=&quot;17&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;49&quot;><q>"
133,22,9,22,"CantQuSol, l. 22",bellet,bellet,_,bɛlə,b.e.ll.et,fro,ADJqua,ADJqua,sfn,beau,DMF,beau,,</q></l>,
205,34,4,34,"CantQuSol, l. 34",bels,bels,_,bɛLS,b.e.l.s,fro,ADJqua,ADJqua,smn,beau,DMF,beau,,,<lb/>
98,18,4,18,"CantQuSol, l. 18",belsz,belsz,;|,bɛLS,b.e.l.sz,fro,ADJqua,ADJqua,smn,beau,DMF,beau,,</q></l></lg>,
198,32,8,32,"CantQuSol, l. 32",bel|tez,beltez,_,bELtæ,b.e.l.t.ez,fro,NOMcom,NOMcom,sfr,beauté,DMF,beauté,,</q></l>,
377,61,7,61,"CantQuSol, l. 61",beltez,beltez,|,bELtæ,b.e.l.t.ez,fro,NOMcom,NOMcom,sfr,beauté,DMF,beauté,,</q></l>,
164,27,4,27,"CantQuSol, l. 27",beem,beem,;|,bEEm,b.e.e.m,fro,ADVgen,ADVgen,,bien,DMF,bien,,</q></l></lg>,
172,29,3,29,"CantQuSol, l. 29",biem,biem,_,biEm,b.i.e.m,fro,ADVgen,ADVgen,,bien,DMF,bien,,,
99,19,1,19,"CantQuSol, l. 19",Blans,blans,_,bLANS,b.l.a.n.s,fro,ADJqua,ADJqua,smn,blanc,DMF,blanc,,,"<lb/><lg n=&quot;7&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;19&quot;><q>"
51,10,4,10,"CantQuSol, l. 10",bon,bon,|,bOn,b.o.n,fro,ADJqua,ADJqua,smr,bon,DMF,bon,,,
213,35,4,35,"CantQuSol, l. 35",bonet,bonet,_,bOnə,b.o.n.et,fro,ADJqua,ADJqua,sfn,bon,DMF,bon,,,
324,53,4,53,"CantQuSol, l. 53",quar,quar,_,kar,qu.a.r,fro,CONcoo,CONcoo,,car,DMF,car,,,
257,42,1,41,"CantQuSol, l. 42",quer,quer,_,kær,qu.e.r,fro,CONcoo,CONcoo,,car,DMF,car,,,<l n=&quot;42&quot;><q>
420,68,5,68,"CantQuSol, l. 68",ćó,co,_,Çɔ,c.o,fro,PRNdem,PRNdem,snr,ce,DMF,ce,,,
117,20,9,20,"CantQuSol, l. 20",cent,cent,_,ÇENT,c.e.n.t,fro,DETcar,DETcar,pmr,cent,DMF,cent,,,
228,37,7,37,"CantQuSol, l. 37",ćánter,canter,_,ċANtær,c.a.n.t.e.r,fro,VERinf,VERinf,,chanter,DMF,chanter,,</q></l>,
234,38,6,38,"CantQuSol, l. 38",ćáaste,caaste,_,ċAAStæ,c.a.a.s.t.e,fro,NOMcom,NOMcom,sfr,chasté,DMF,chasté,,,
347,56,8,56,"CantQuSol, l. 56",ćádeit,cadeit,_,ċAðEiT,c.a.d.e.i.t,fro,VERppe,VERppe,smn,choir,DMF,choir,,,
267,44,1,44,"CantQuSol, l. 44",cil,cil,_,Çil,c.i.l,fro,PRNdem,PRNdem,pmn,cil,DMF,cil,,,<l n=&quot;44&quot;><q>
290,47,6,47,"CantQuSol, l. 47",cil,cil,|,Çil,c.i.l,fro,PRNdem,PRNdem,pmn,cil,DMF,cil,,,
8,2,2,2,"CantQuSol, l. 2",icel,icel,+,iʦel,i.c.e.l,fro,DETdem,DETdem,smr,cil,DMF,cil,,,
520,88,2,88,"CantQuSol, l. 88",icelsz,icelsz,_,iʦeLS,i.c.e.l.sz,fro,PRNdem,PRNdem,pmr,cil,DMF,cil,,,
312,52,1,52,"CantQuSol, l. 52",Chinc,chinc,_,ÇiNK,ch.i.n.c,fro,DETcar,DETcar,pmr,cinq,DMF,cinq,,,"<lg n=&quot;18&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;52&quot;><q>"
266,43,6,43,"CantQuSol, l. 43",citez,citez,_,Çitæ,c.i.t.ez,fro,NOMcom,NOMcom,sfr,cité,DMF,cité,,</q></l>,
94,17,7,17,"CantQuSol, l. 17",clartez,clartez,_,kLArtæ,c.l.a.r.t.ez,fro,NOMcom,NOMcom,sfr,clarté,DMF,clarté,,</q></l>,
386,62,9,62,"CantQuSol, l. 62",clartez,clartez,_,kLArtæ,c.l.a.r.t.ez,fro,NOMcom,NOMcom,sfr,clarté,DMF,clarté,,</q></l>,<lb/>
361,59,1,59,"CantQuSol, l. 59",co[m]mandent,commandent,_,kOmANdəNT,c.o.mm.a.n.d.e.n.t,fro,VERcjg,VERcjg,indpst6,commander,DMF,commander,,,<l n=&quot;59&quot;><q>
174,29,5,29,"CantQuSol, l. 29",con,con,+,kOn,c.o.n,fro,CONsub,CONsub,,comme,DMF,comme,,,
74,14,7,14,"CantQuSol, l. 14",conter,conter,_,kONtær,c.o.n.t.e.r,fro,VERinf,VERinf,,conter,DMF,conter,,,
4,1,4,1,"CantQuSol, l. 1",conu[er]set,converset,_,kONvɛrSə,c.o.n.v.e.r.s.et,fro,VERcjg,VERcjg,indpst3,converser,DMF,converser,,,
349,56,10,56,"CantQuSol, l. 56",colped,colped,|,koLpə,c.o.l.p.ed,fro,NOMcom,NOMcom,sfr,coulpe,DMF,coulpe,,</q></l>,
488,80,8,80,"CantQuSol, l. 80",coronet,coronet,_,korOnə,c.o.r.o.n.et,fro,NOMcom,NOMcom,sfn,couronne,DMF,couronne,,</q></l>,
470,77,4,77,"CantQuSol, l. 77",dam,dam,_,dAm,d.a.m,fro,NOMcom,NOMcom,smr,dan,DMF,dan,,,
498,83,4,83,"CantQuSol, l. 83",dam,dam,|,dAm,d.a.m,fro,NOMcom,NOMcom,smr,dan,DMF,dan,,,
514,86,4,86,"CantQuSol, l. 86",dam,dam,_,dAm,d.a.m,fro,NOMcom,NOMcom,smr,dan,DMF,dan,,,
410,67,1,67,"CantQuSol, l. 67",Danz,danz,_,dANS,d.a.n.z,fro,NOMcom,NOMcom,smn,dan,DMF,dan,,,"<lg n=&quot;23&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;67&quot;><q>"
435,70,6,70,"CantQuSol, l. 70",danz,danz,|,dANS,d.a.n.z,fro,NOMcom,NOMcom,smn,dan,DMF,dan,,,
440,71,4,71,"CantQuSol, l. 71",danz,danz,_,dANS,d.a.n.z,fro,NOMcom,NOMcom,smn,dan,DMF,dan,,,
452,73,9,73,"CantQuSol, l. 73",dauid,david,_,dAviT,d.a.v.i.d,fro,NOMpro,NOMpro,smn,David,wiktionary,,,</q></l>,
309,51,1,51,"CantQuSol, l. 51",d,d,+,d,d,fro,PRE,PRE,,de,DMF,de,,,<lb/><l n=&quot;51&quot;><q>
547,92,5,92,"CantQuSol, l. 92",d,d,+,d,d,fro,PRE,PRE,,de,DMF,de,,,
50,10,3,10,"CantQuSol, l. 10",de,de,+,dE,d.e,fro,PRE,PRE,,de,DMF,de,,,
65,13,6,13,"CantQuSol, l. 13",de,de,+,dE,d.e,fro,PRE,PRE,,de,DMF,de,,,
76,15,1,15,"CantQuSol, l. 15",de,de,+,dE,d.e,fro,PRE,PRE,,de,DMF,de,,,<l n=&quot;15&quot;><q>
127,22,3,22,"CantQuSol, l. 22",de,de,+,dE,d.e,fro,PRE,PRE,,de,DMF,de,,,
146,25,2,25,"CantQuSol, l. 25",de,de,+,dE,d.e,fro,PRE,PRE,,de,DMF,de,,,
151,26,1,26,"CantQuSol, l. 26",de,de,+,dE,d.e,fro,PRE,PRE,,de,DMF,de,,,<l n=&quot;26&quot;><q>
196,32,6,32,"CantQuSol, l. 32",de,de,+,dE,d.e,fro,PRE,PRE,,de,DMF,de,,,
327,53,7,53,"CantQuSol, l. 53",de,de,+,dE,d.e,fro,PRE,PRE,,de,DMF,de,,,
387,63,1,63,"CantQuSol, l. 63",de,de,+,dE,d.e,fro,PRE,PRE,,de,DMF,de,,,<l n=&quot;63&quot;><q>
395,64,6,64,"CantQuSol, l. 64",de,de,+,dE,d.e,fro,PRE,PRE,,de,DMF,de,,,
427,69,2,69,"CantQuSol, l. 69",de,de,+,dE,d.e,fro,PRE,PRE,,de,DMF,de,,,
444,73,1,73,"CantQuSol, l. 73",De,de,+,dE,d.e,fro,PRE,PRE,,de,DMF,de,,,"<lg n=&quot;25&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;73&quot;><q>"
500,84,1,84,"CantQuSol, l. 84",de,de,+,dE,d.e,fro,PRE,PRE,,de,DMF,de,,,<l n=&quot;84&quot;><q>
