wd_id,line_id,line_wd,textlineid,ref,dipl,word,phon,map,wd_div,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
187,36,2,35,"AlexAlb, l. 35",ten,ten,tEn,t.e.n,|,fro,VERcjg,VERcjg,indpsp3,tenir,DMF,tenir,,,
455,82,3,81,"AlexAlb, l. 81",teyne,teyne,tEñə,t.e.yn.e,_,fro,VERcjg,VERcjg,subpst3,tenir,DMF,tenir,,,
86,16,3,15,"AlexAlb, l. 15",terra,terra,tèrrə,t.e.r.r.a,_,fro,NOMcom,NOMcom,sfr,terre,DMF,terre,,,
262,49,3,48,"AlexAlb, l. 48",t[er]ra,terra,tèrrə,t.e.r.r.a,_,fro,NOMcom,NOMcom,sfn,terre,DMF,terre,,,
291,54,6,53,"AlexAlb, l. 53",terra,terra,tèrrə,t.e.r.r.a,_,fro,NOMcom,NOMcom,sfr,terre,DMF,terre,,,
592,105,4,104,"AlexAlb, l. 104",terra,terra,tErrə,t.e.r.r.a,_,fro,NOMcom,NOMcom,sfr,terre,DMF,terre,,,
551,99,2,98,"AlexAlb, l. 98",terz,terz,tèrÇ,t.e.r.z,_,fro,PRNord,PRNord,smn,tiers,DMF,tiers,,,
32,7,1,6,"AlexAlb, l. 6",toylle,toylle,tXʎə,t.o.yll.e,_,fro,VERcjg,VERcjg,subpst3,tolir,DMF,tolir,,,<l n=&quot;6&quot;>
580,103,4,102,"AlexAlb, l. 102",tons,tons,tONS,t.o.n.s,_,fro,NOMcom,NOMcom,pmr,ton,DMF,ton,,,
266,50,1,49,"AlexAlb, l. 49",toneyres,toneyres,tOnEirəS,t.o.n.e.y.r.e.s,_,fro,NOMcom,NOMcom,smn,tonnerre,DMF,tonnerre,,,<l n=&quot;49&quot;>
562,100,6,99,"AlexAlb, l. 99",tort,tort,tòrT,t.o.r.t,_,fro,NOMcom,NOMcom,smr,tort,DMF,tort,,,
320,59,3,58,"AlexAlb, l. 58",to_ca,toca,tokə,t.o.c.a,_,fro,VERcjg,VERcjg,indpst3,toucher,DMF,toucher,,,
570,101,6,100,"AlexAlb, l. 100",toccar,toccar,toċAr,t.o.cc.a.r,.,fro,VERinf,VERinf,---,toucher,DMF,toucher,,</l>,
