syll.ix,line_id,value,form,elidable,mergeable,mergeable2,stress,lstress,has_onset,has_enclitic,is_final,is_monosyllable,is_syncopated,wd_id,all_wd_ids,in_word,in_line,metpos,onset,rhyme,onset_written,rhyme_written,words,cat
78,7,,QQ/V\,n,n,n,y,y,y,,n,n,n,38,38,--,3,0313-,,,,,scelus,sy
79,7,,L/V\Q,n,n,n,n,n,y,,y,n,n,38,38,--,4,0412-,,,,,scelus,sy
80,7,,QR/V\,n,n,n,y,y,y,,n,n,n,39,39,--,5,0511-,,,,,primi,sy
81,7,,N/V\,n,n,n,n,n,y,,y,n,n,39,39,--,6,0610-,,,,,primi,sy
82,7,,/V\,n,n,n,y,y,n,,n,n,n,40,40,--,7,0709-,,,,,ade,sy
83,7,,Q/V\,n,n,n,n,n,y,,y,n,n,40,40,--,8,0808c,,,,,ade,sy
84,7,,/V\,n,n,n,n,y,n,,n,y,n,41,41,--,9,0907-,,,,,a,sy
85,7,,N/V\,n,n,n,y,y,y,,n,n,n,42,42,--,10,1006-,,,,,nobis,sy
86,7,,Q/V\Q,n,n,n,n,n,y,,y,n,n,42,42,--,11,1105-,,,,,nobis,sy
87,7,,Q/V\,n,n,n,n,n,y,,n,n,n,43,43,--,12,1204-,,,,,diluitur,sy
88,7,,L/V\,n,n,n,y,y,y,,n,n,n,43,43,--,13,1303-,,,,,diluitur,sy
89,7,,/V\,n,n,n,n,n,n,,n,n,n,43,43,--,14,1402-,,,,,diluitur,sy
90,7,,Q/V\R,n,n,n,y,y,y,,y,n,n,43,43,--,15,1501r,,,,,diluitur,sy
91,8,,Q/V\Q,n,n,n,n,y,y,,n,y,n,44,44,--,1,0115-,,,,,hic,sy
92,8,,Q/V\,n,n,n,n,n,y,,n,n,n,45,45,--,2,0214-,,,,,pependit,sy
93,8,,Q/V\N,n,n,n,y,y,y,,n,n,n,45,45,--,3,0313-,,,,,pependit,sy
94,8,,Q/V\Q,n,n,n,n,n,y,,y,n,n,45,45,--,4,0412-,,,,,pependit,sy
95,8,,/V\Q,n,n,n,n,y,n,,n,y,n,46,46,--,5,0511-,,,,,ut,sy
96,8,,Q/V\,n,n,n,n,n,y,,n,n,n,47,47,--,6,0610-,,,,,celesti,sy
97,8,,L/V\Q,n,n,n,y,y,y,,n,n,n,47,47,--,7,0709-,,,,,celesti,sy
98,8,,Q/V\,n,n,n,n,n,y,,y,n,n,47,47,--,8,0808c,,,,,celesti,sy
99,8,,Q/V\,n,n,n,y,y,y,,n,n,n,48,48,--,9,0907-,,,,,patrie,sy
100,8,,QR/V\,n,n,n,n,n,y,,n,n,n,48,48,--,10,1006-,,,,,patrie,sy
101,8,,/V\,n,n,n,y,y,n,,y,n,n,48,48,--,11,1105-,,,,,patrie,sy
102,8,,N/V\Q,n,n,n,n,y,y,,n,y,n,49,49,--,12,1204-,,,,,nos,sy
103,8,,R/V\Q,n,n,n,y,y,y,,n,n,n,50,50,--,13,1303-,,,,,redderet,sy
104,8,,Q/V\,n,n,n,n,n,y,,n,n,n,50,50,--,14,1402-,,,,,redderet,sy
105,8,,R/V\Q,n,n,n,y,y,y,,y,n,n,50,50,--,15,1501r,,,,,redderet,sy
106,9,,/V\Q,n,n,n,n,y,n,,n,y,n,51,51,--,1,0115-,,,,,ac,sy
107,9,,Q/V\,n,n,n,n,y,y,,n,y,n,52,52,--,2,0214-,,,,,de,sy
108,9,,Q/V\R,n,n,n,y,y,y,,n,n,n,53,53,--,3,0313-,,,,,parte,sy
109,9,,Q/V\,n,n,n,n,n,y,,y,n,n,53,53,--,4,0412-,,,,,parte,sy
110,9,,/V\,n,n,n,n,n,n,,n,n,n,54,54,--,5,0511-,,,,,inimici,sy
111,9,,N/V\,n,n,n,n,n,y,,n,n,n,54,54,--,6,0610-,,,,,inimici,sy
112,9,,N/V\,n,n,n,y,y,y,,n,n,n,54,54,--,7,0709-,,,,,inimici,sy
113,9,,Q/V\,n,n,n,n,n,y,,y,n,n,54,54,--,8,0808c,,,,,inimici,sy
114,9,,L/V\,n,n,n,y,y,y,,n,n,n,55,55,--,9,0907-,,,,,liberos,sy
115,9,,Q/V\,n,n,n,n,n,y,,n,n,n,55,55,--,10,1006-,,,,,liberos,sy
116,9,,R/V\Q,n,n,n,y,y,y,,y,n,n,55,55,--,11,1105-,,,,,liberos,sy
117,9,,N/V\Q,n,n,n,n,y,y,,n,y,n,56,56,--,12,1204-,,,,,nos,sy
118,9,,QR/V\,n,n,n,y,y,y,,n,n,n,57,57,--,13,1303-,,,,,traheret,sy
119,9,,Q/V\,n,n,n,n,n,y,,n,n,n,57,57,--,14,1402-,,,,,traheret,sy
120,9,,R/V\Q,n,n,n,y,y,y,,y,n,n,57,57,--,15,1501r,,,,,traheret,sy
121,10,,Q/V\,n,n,n,y,y,y,,n,n,n,58,58,--,1,0115-,,,,,venit,sy
122,10,,N/V\Q,n,n,n,n,n,y,,y,n,n,58,58,--,2,0214-,,,,,venit,sy
123,10,,QQ/V\N,n,n,n,y,y,y,,n,n,n,59,59,--,3,0313-,,,,,sponsus,sy
124,10,,Q/V\Q,n,n,n,n,n,y,,y,n,n,59,59,--,4,0412-,,,,,sponsus,sy
