file,name,value
paula/tree/Eulalie/ogr040.Eulalie.anno_feat.xml,ms,"Valenciennes, Bibliothèque municipale, 150"
paula/tree/Eulalie/ogr040.Eulalie.anno_feat.xml,form,verse
paula/tree/Eulalie/ogr040.Eulalie.anno_feat.xml,source,ms. image
paula/tree/Passion/ogr040.Passion.anno_feat.xml,text,Passion
paula/tree/Passion/ogr040.Passion.anno_feat.xml,lang,fro
paula/tree/Passion/ogr040.Passion.anno_feat.xml,lang_other,---
paula/tree/Passion/ogr040.Passion.anno_feat.xml,ms_cent,10..11
paula/tree/Passion/ogr040.Passion.anno_feat.xml,ms_origin,Limousin [?]
paula/tree/Passion/ogr040.Passion.anno_feat.xml,text_cent,10
paula/tree/Passion/ogr040.Passion.anno_feat.xml,text_origin,Poitou
paula/tree/Passion/ogr040.Passion.anno_feat.xml,title_en,Passion of Clermont
paula/tree/Passion/ogr040.Passion.anno_feat.xml,title_fr,Passion du Christ
paula/tree/Passion/ogr040.Passion.anno_feat.xml,author,anonymous
paula/tree/Passion/ogr040.Passion.anno_feat.xml,ms,"Clermont-Ferrand, Bibliothèque municipale, 240"
paula/tree/Passion/ogr040.Passion.anno_feat.xml,form,verse
paula/tree/Passion/ogr040.Passion.anno_feat.xml,source,transcription
paula/tree/PrDieu/ogr040.PrDieu.anno_feat.xml,text,PrDieu
paula/tree/PrDieu/ogr040.PrDieu.anno_feat.xml,lang,pro
paula/tree/PrDieu/ogr040.PrDieu.anno_feat.xml,lang_other,---
paula/tree/PrDieu/ogr040.PrDieu.anno_feat.xml,ms_cent,11..12
paula/tree/PrDieu/ogr040.PrDieu.anno_feat.xml,ms_origin,Limousin
paula/tree/PrDieu/ogr040.PrDieu.anno_feat.xml,text_cent,11..12
paula/tree/PrDieu/ogr040.PrDieu.anno_feat.xml,text_origin,Limousin
paula/tree/PrDieu/ogr040.PrDieu.anno_feat.xml,title_en,Prayer to God in verse (Te Autem)
paula/tree/PrDieu/ogr040.PrDieu.anno_feat.xml,title_fr,Prière à Dieu en vers (Te Autem)
paula/tree/PrDieu/ogr040.PrDieu.anno_feat.xml,author,anonymous
paula/tree/PrDieu/ogr040.PrDieu.anno_feat.xml,ms,"Paris, Bibliothèque nationale, lat. 1139"
paula/tree/PrDieu/ogr040.PrDieu.anno_feat.xml,form,verse
paula/tree/PrDieu/ogr040.PrDieu.anno_feat.xml,source,ms. image
paula/tree/PrVierge2/ogr040.PrVierge2.anno_feat.xml,text,PrVierge2
paula/tree/PrVierge2/ogr040.PrVierge2.anno_feat.xml,lang,pro
paula/tree/PrVierge2/ogr040.PrVierge2.anno_feat.xml,lang_other,lat
paula/tree/PrVierge2/ogr040.PrVierge2.anno_feat.xml,ms_cent,11..12
paula/tree/PrVierge2/ogr040.PrVierge2.anno_feat.xml,ms_origin,Limousin
paula/tree/PrVierge2/ogr040.PrVierge2.anno_feat.xml,text_cent,11..12
paula/tree/PrVierge2/ogr040.PrVierge2.anno_feat.xml,text_origin,Limousin
paula/tree/PrVierge2/ogr040.PrVierge2.anno_feat.xml,title_en,Prayer to the Virgin in verse (Mei amic e mei fiel...)
paula/tree/PrVierge2/ogr040.PrVierge2.anno_feat.xml,title_fr,Prière à la Vierge en vers (Mei amic e mei fiel...)
paula/tree/PrVierge2/ogr040.PrVierge2.anno_feat.xml,author,anonymous
paula/tree/PrVierge2/ogr040.PrVierge2.anno_feat.xml,ms,"Paris, Bibliothèque nationale, lat. 1139"
paula/tree/PrVierge2/ogr040.PrVierge2.anno_feat.xml,form,verse
paula/tree/PrVierge2/ogr040.PrVierge2.anno_feat.xml,source,ms. image
paula/tree/PrVierge3/ogr040.PrVierge3.anno_feat.xml,text,PrVierge3
paula/tree/PrVierge3/ogr040.PrVierge3.anno_feat.xml,lang,pro
paula/tree/PrVierge3/ogr040.PrVierge3.anno_feat.xml,lang_other,---
paula/tree/PrVierge3/ogr040.PrVierge3.anno_feat.xml,ms_cent,11..12
paula/tree/PrVierge3/ogr040.PrVierge3.anno_feat.xml,ms_origin,Limousin
paula/tree/PrVierge3/ogr040.PrVierge3.anno_feat.xml,text_cent,11..12
paula/tree/PrVierge3/ogr040.PrVierge3.anno_feat.xml,text_origin,Limousin
paula/tree/PrVierge3/ogr040.PrVierge3.anno_feat.xml,title_en,Prayer to the Virgin in verse (Versus sancte Marie)
paula/tree/PrVierge3/ogr040.PrVierge3.anno_feat.xml,title_fr,Prière à la Vierge en vers (Versus sancte Marie)
paula/tree/PrVierge3/ogr040.PrVierge3.anno_feat.xml,author,anonymous
paula/tree/PrVierge3/ogr040.PrVierge3.anno_feat.xml,ms,"Paris, Bibliothèque nationale, lat. 1139"
paula/tree/PrVierge3/ogr040.PrVierge3.anno_feat.xml,form,verse
paula/tree/PrVierge3/ogr040.PrVierge3.anno_feat.xml,source,ms. image
paula/tree/SFoi/ogr040.SFoi.anno_feat.xml,text,SFoi
paula/tree/SFoi/ogr040.SFoi.anno_feat.xml,lang,pro
paula/tree/SFoi/ogr040.SFoi.anno_feat.xml,lang_other,---
paula/tree/SFoi/ogr040.SFoi.anno_feat.xml,ms_cent,11..12
paula/tree/SFoi/ogr040.SFoi.anno_feat.xml,ms_origin,Burgundy
paula/tree/SFoi/ogr040.SFoi.anno_feat.xml,text_cent,11
paula/tree/SFoi/ogr040.SFoi.anno_feat.xml,text_origin,between Narbonne and the Pyrenees
